"","Player","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles","Fls","Fld","Off","Crs","TklW","OG","PKwon","PKcon","Club"
"570","Carlos Gruezo",1006,0,0,0,0,2,0,5,0,378,23,10,13,0,0,0.3,12,4,214,291,1012.9,25,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","Carlos Martínez",45,0,0,0,0,0,0,0,0,20,1,1,1,0,0,0,0,0,10,15,66.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","Carlos Soler",660,5,1,1,1,12,5,0,0,443,8,3,5,2.5,1.7,1.4,20,4,323,389,1232.9,27,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","Carlos Vinícius",342,0,0,0,0,6,2,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","Carmona",892,2,1,0,0,8,2,6,0,663,19,9,15,1.4,1.4,0.6,14,2,472,564,1152.2,18,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","Carney Chukwuemeka",46,0,0,0,0,1,1,0,0,29,0,0,1,0.1,0.1,0,2,0,17,21,261.9,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","Casals",12,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","Casemiro",900,2,1,0,0,14,5,2,0,757,39,18,22,0.7,0.7,0.9,29,2,495,625,1093.4,55,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","Casper Nielsen",529,0,1,0,0,5,1,2,0,210,16,5,8,0.3,0.3,0.5,4,1,95,150,364.7,10,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","Casper Terho",39,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"580","Castello Lukeba",1260,1,0,0,0,3,2,2,0,1062,10,26,18,0.1,0.1,0.1,11,1,847,955,1227.9,54,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","Catena",1260,1,1,0,0,3,2,5,0,877,6,7,11,0.3,0.3,0.7,11,1,640,777,1133,41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","Cauly Oliveira Souza",336,1,3,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"583","Cédric Avinel",697,1,0,0,0,2,1,1,1,316,6,9,6,1,1,0,1,1,211,250,678.4,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","Cédric Badolo",518,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"585","Cédric Bakambu",59,0,1,0,0,0,0,0,0,32,2,0,0,0,0,1.1,2,1,19,23,242.8,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Cédric Brunner",1017,0,0,0,0,3,0,1,0,587,12,25,13,0.1,0.1,0.4,12,1,330,481,812.5,24,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Cédric Hountondji",1337,0,0,0,0,6,3,2,0,732,15,20,17,0.7,0.7,0.2,6,1,534,612,1276.3,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Cédric Soares",29,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,1,0,19,24,82.6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Celso Borges",159,0,0,0,0,0,0,1,0,93,3,3,3,0,0,0,0,0,68,84,163.9,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Cengiz Ünder",727,0,1,0,0,22,6,1,0,432,14,8,3,3.1,3.1,2.2,37,5,249,338,1536.5,20,8,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Cenk Özkacar",239,0,0,0,0,0,0,0,0,215,4,1,2,0,0,0,4,0,167,192,259.6,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","César Azpilicueta",1022,0,0,0,0,3,1,2,0,1017,23,16,21,0.2,0.2,1.1,27,1,773,914,1414.4,43,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","César de la Hoz",583,1,0,0,0,3,1,4,0,262,12,5,10,0.1,0.1,0.2,8,2,171,209,621.3,17,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","César Montes",180,0,0,0,0,1,0,0,0,144,2,0,0,0.2,0.2,0,0,0,106,128,165.7,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","Chadi Riad",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Chancel Mbemba",1711,3,1,0,0,14,6,0,1,1235,34,23,17,1.5,1.5,0.3,19,3,874,1050,1664.6,69,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","Charalambos Kyriakou",118,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"598","Charalambos Lykogiannis",589,1,0,0,0,8,1,2,0,387,10,11,2,0.4,0.4,0.1,15,1,219,326,769,16,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Charles Aránguiz",708,1,0,0,0,6,2,1,0,539,21,9,7,0.4,0.4,0.3,16,0,394,465,NA,35,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","Charles De Ketelaere",814,0,1,0,0,12,2,3,0,356,10,5,13,0.9,0.9,1.7,32,2,187,259,1376.3,25,15,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","Charles Morren",359,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"602","Charles Pickel",1008,1,0,0,0,15,5,3,0,499,21,7,17,1.2,1.2,0.7,24,0,323,397,1092.9,36,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","Charles Rigon Matos",207,0,0,0,0,2,0,1,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,2,0,NA,NA,NA
"604","Charly Rodríguez",20,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,17,20,85,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","Che Adams",1066,4,1,0,0,29,12,0,0,386,10,3,8,3.9,3.9,1.6,28,1,178,257,1007.7,11,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","Check Keita",121,0,0,0,0,0,0,1,0,52,2,0,1,0,0,0,1,0,40,46,168.9,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Cheick Doucouré",963,0,1,0,0,10,3,5,0,596,25,20,17,0.2,0.2,1,20,2,422,485,1043.9,37,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","Cheick Oumar Conde",163,0,0,0,0,1,1,1,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,3,0,NA,NA,NA
"609","Cheikhou Kouyaté",776,1,0,0,0,5,5,2,0,324,21,7,15,0.4,0.4,0.6,9,0,178,229,972.7,10,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","Chem Campbell",74,0,0,0,0,2,0,0,0,45,2,1,2,0.1,0.1,0,2,0,23,32,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Chidera Ejuke",790,0,3,0,0,21,5,0,0,383,4,2,3,1.4,1.4,1,34,5,210,265,1149.4,24,31,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Chikwubuike Adamu",204,1,1,0,0,5,3,1,0,88,9,1,5,1.3,1.3,0.3,5,1,25,48,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","Chimuanya Ugochukwu",465,0,0,0,0,1,0,0,1,272,16,6,8,0.1,0.1,0,3,1,190,225,612.2,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Chiquinho",172,0,1,0,0,2,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","Cho Guesung",107,2,0,0,0,7,4,1,0,37,0,0,2,0.9,0.9,0,1,0,14,24,107.6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Chris Führich",873,2,0,0,0,16,5,2,0,423,25,4,18,1.4,1.4,1.7,34,4,244,326,1019.3,27,16,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","Chris Johns",390,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"618","Chris Kouakou",20,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,0,NA,NA,NA
"619","Chris Marriott",210,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"620","Chris McCann",337,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"621","Chris Mepham",1521,0,0,0,0,5,2,6,0,936,25,12,27,0.1,0.1,0.2,8,0,626,754,1402.1,25,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Chris Richards",47,0,0,0,0,1,0,0,0,38,0,2,3,0.1,0.1,0.3,1,0,17,23,229.2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Chris Shields",390,0,0,0,0,0,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"624","Chris Smalling",1323,3,0,0,0,9,3,3,0,738,9,24,19,1,1,0,4,0,514,585,1307.6,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Chris Stumpf",137,0,0,0,0,0,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"626","Chris Wood",272,1,0,0,0,5,2,0,0,94,4,0,2,0.6,0.6,0.3,4,0,43,68,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","Chrislain Matsima",36,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,14,18,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","Christian Bassogog",24,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,5,9,55.6,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Christian Burgess",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"630","Christian Eriksen",1223,1,4,0,0,22,9,1,0,952,9,4,16,2.6,2.6,2.2,46,5,671,855,1182.4,60,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Christian Groß",903,1,0,0,0,3,1,1,0,505,25,12,12,0,0,0.3,14,0,334,406,1071.4,25,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Christian Günter",1315,0,1,0,0,19,5,3,0,758,16,7,11,0.7,0.7,2.6,48,2,480,678,1056.3,27,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","Christian Gytkjær",343,1,0,0,0,9,4,0,0,89,6,0,1,2.3,2.3,0.2,6,2,38,58,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","Christian Kouamé",1005,2,2,0,0,22,7,2,0,522,12,10,9,2.6,2.6,1.6,49,4,264,371,986.9,27,10,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Christian Nørgaard",344,1,0,0,0,5,3,0,0,224,9,8,6,0.4,0.4,0.1,7,1,148,185,476.3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Christian Pulisic",751,2,3,0,0,17,5,1,0,444,13,4,5,1.6,1.6,2.2,34,5,244,327,NA,23,9,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","Christian Sørensen",102,0,0,0,0,1,0,1,0,79,1,2,0,0,0,0.3,8,0,52,73,NA,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Christoph Baumgartner",1150,4,2,0,0,39,12,3,0,602,14,11,24,4.2,4.2,2.2,46,6,301,424,1039.5,34,17,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Christoph Kramer",1183,0,0,0,0,4,0,3,0,786,24,4,12,0.2,0.2,1.2,22,0,547,666,1101.1,32,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Christoph Lang",38,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"641","Christophe Hérelle",337,0,0,0,0,0,0,1,0,181,3,7,5,0,0,0.1,1,0,135,154,431.3,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Christopher Antwi-Adjei",453,2,2,0,0,11,4,0,0,214,6,1,6,1.6,1.6,0.8,20,2,79,140,NA,10,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Christopher Jullien",900,0,0,0,0,6,0,1,0,459,16,12,14,0.9,0.9,0.3,6,0,296,359,827,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Christopher Lenz",629,0,2,0,0,8,3,0,0,431,18,10,9,0.4,0.4,0.9,16,3,266,363,840.9,19,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Christopher McKee",65,0,1,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"646","Christopher Nkunku",1819,15,1,2,3,56,25,2,0,870,9,10,7,10.2,7.9,4.7,79,8,559,664,1769.9,60,25,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Christopher Trimmel",929,0,2,0,0,6,1,1,0,571,20,16,11,0.2,0.2,1,27,3,299,489,752.4,23,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Christopher Wooh",454,0,0,0,0,3,0,1,0,316,3,2,6,0.4,0.4,0.2,4,2,238,264,534.8,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Cicinho",315,0,0,0,0,0,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"650","Ciprian Deac",202,0,2,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"651","Ciprian Tătărușanu",1080,0,1,0,0,0,0,0,0,439,0,0,0,0,0,0.6,6,2,324,408,952.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Ciro Immobile",816,6,3,1,2,25,13,2,0,304,4,1,7,6.1,4.6,1,31,9,165,224,857.4,10,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Cisse Sandra",8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Ckene Doucouré",30,0,1,0,0,2,0,0,0,20,1,1,0,0.1,0.1,0.2,4,1,6,11,175,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Claes Kronberg",147,0,1,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"656","Claude Gonçalves",90,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"657","Claudio Bravo",180,0,0,0,0,0,0,1,0,74,0,1,0,0,0,0,1,0,32,69,93,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","Claudiu Petrila",59,1,0,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"659","Clément Grenier",404,0,0,0,0,2,1,6,0,228,11,5,4,0.2,0.2,0.6,10,0,133,187,737.5,14,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","Clément Lenglet",900,1,1,0,0,7,1,2,0,752,20,7,10,0.8,0.8,0.4,10,2,577,669,1036,29,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Clément Vidal",574,0,0,0,0,6,0,1,1,369,11,10,7,0.5,0.5,0.2,5,0,251,310,635.8,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Clinton Mata",7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Clinton Mola",15,0,0,0,0,0,0,1,0,14,3,1,1,0,0,0,0,0,3,6,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","Coca",180,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"665","Cody Drameh",69,0,0,0,0,0,0,0,0,44,5,1,0,0,0,0,1,0,30,38,78.9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Cody Gakpo",639,3,1,0,0,11,6,0,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","Cole Palmer",244,0,0,0,0,6,2,0,0,160,4,1,3,0.3,0.3,0,5,0,107,125,913.3,7,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Colin Dagba",463,0,0,0,0,2,0,1,0,327,14,10,9,0.1,0.1,0.5,16,2,221,272,759.7,15,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Collins Fai",180,0,0,0,0,1,0,1,0,134,2,1,2,0,0,0,4,1,81,123,131.8,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Connor Goldson",674,0,0,0,0,2,0,2,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Connor Roberts",410,0,0,0,0,0,0,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Connor Ronan",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,4,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Conor Coady",1250,1,1,0,0,3,2,1,0,824,8,8,10,0.7,0.7,0.3,13,1,612,719,1183.8,21,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Conor Coventry",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Conor Gallagher",693,1,1,0,0,15,6,5,1,502,24,12,6,1.6,1.6,1.7,29,3,325,403,1371.7,18,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Conor Hazard",390,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"677","Conor Pepper",21,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"678","Copete",997,0,0,0,0,3,0,3,0,531,26,25,18,0.6,0.2,0,3,0,315,397,934.7,18,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Corentin Tolisso",538,0,0,0,0,5,2,1,0,546,8,7,3,0.1,0.1,1.6,26,2,436,498,879.8,48,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Craig Dawson",450,0,0,0,0,2,0,2,0,244,7,3,5,0.1,0.1,0.1,6,1,160,203,401.4,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Craig Goodwin",156,1,0,0,0,1,1,0,0,79,4,0,2,0.3,0.3,0.2,3,0,39,59,133.8,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Crespo",58,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"683","Cristhian Mosquera",55,0,0,0,0,1,0,0,0,23,1,1,0,0.1,0.1,0,0,0,16,17,166.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Cristhian Stuani",419,4,0,3,4,9,4,2,0,94,4,1,1,4.9,1.7,0.4,7,1,44,60,745.3,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Cristian Bălgrădean",210,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"686","Cristian Buonaiuto",370,0,0,0,0,19,6,0,0,268,12,7,5,1.1,1.1,0.7,29,1,129,200,678.2,13,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Cristian Gamboa",1272,0,0,0,0,7,1,2,0,706,37,14,17,0,0,0.5,26,2,389,583,987.9,42,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Cristian Manea",210,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"689","Cristian Romero",1080,0,0,0,0,6,3,1,0,900,28,18,15,0.7,0.7,0.4,11,0,694,783,1249.7,43,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Cristian Stellini",NA,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","Cristian Volpato",189,1,1,0,0,4,1,0,0,105,2,2,2,0.4,0.4,1.2,6,1,65,82,314.4,9,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Cristiano Biraghi",1142,0,2,0,1,11,1,0,0,1052,32,3,10,1.3,0.5,2.3,62,3,699,968,1004.3,60,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Cristiano Ronaldo",693,2,0,1,1,31,7,2,0,294,2,1,0,3.1,2.3,0.5,19,2,166,221,840.3,10,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Crysencio Summerville",473,4,0,0,0,11,5,1,0,239,12,3,9,1.5,1.5,0.2,19,1,121,162,735.1,13,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Curro",43,0,0,0,0,1,1,1,0,33,2,0,0,0.1,0.1,0.2,2,0,21,28,142.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Curtis Jones",272,0,0,0,0,7,1,0,0,207,6,2,4,0.5,0.5,0.3,11,0,141,167,497.4,15,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Cyle Larin",90,0,0,0,0,3,1,0,0,31,0,0,0,0.2,0.2,0.1,2,1,16,19,266.7,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Cyriel Dessers",860,2,1,0,1,26,5,1,0,254,7,3,7,4.3,3.5,0.8,22,0,93,150,767.6,9,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","Cyrille Bayala",763,1,0,0,0,11,4,3,0,367,25,11,9,1.1,1.1,0,16,0,153,251,850.5,24,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Daichi Kamada",1657,10,3,3,3,29,11,2,0,1064,41,14,17,7.2,4.8,2,57,12,691,864,1643.5,66,12,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Daizen Maeda",386,0,0,0,0,7,1,1,0,133,8,7,10,1.6,1.6,0.8,5,0,52,75,477.8,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Daley Blind",677,0,0,0,0,6,1,0,0,628,21,6,10,0.4,0.4,0.2,11,2,476,566,653.8,51,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Daley Sinkgraven",177,0,1,0,0,3,1,0,0,105,2,3,3,0.1,0.1,0.7,4,2,61,84,284.1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","Damián Suárez",549,1,0,0,0,2,1,2,0,371,10,5,9,0.3,0.3,0.6,17,1,214,324,494.1,23,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Damien Da Silva",158,0,0,0,0,1,0,2,0,138,2,4,0,0.1,0.1,0,0,0,102,123,418.5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","Damir Zlomislić",65,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"707","Dan-Axel Zagadou",441,0,0,0,0,6,2,1,0,357,4,4,8,0.6,0.6,0.1,6,1,250,299,512.3,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","Dan Burn",1224,0,0,0,0,9,2,2,0,780,18,15,12,0.6,0.6,0,11,1,516,640,1172.2,21,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Dango Ouattara",1193,5,4,0,0,38,11,3,1,534,28,16,19,4.3,4.3,2.3,48,11,212,342,849.1,30,18,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","Dani Carvajal",1316,0,2,0,0,7,0,4,0,1074,25,14,18,0.1,0.1,2.2,28,2,817,949,1529.9,35,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","Dani Ceballos",209,0,1,0,0,3,1,1,0,224,9,5,5,0.1,0.1,0.5,19,3,178,195,929.5,17,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","Dani García",363,0,1,0,0,1,0,1,0,225,7,3,2,0,0,0.1,8,1,164,202,647,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","Dani Gómez",66,0,0,0,0,0,0,1,0,24,2,1,0,0,0,0,0,0,9,13,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","Dani Olmo",757,2,3,0,0,24,10,0,0,522,13,3,13,2.3,2.3,2.4,40,7,312,402,1074,29,10,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","Dani Rodríguez",689,0,2,0,0,7,3,5,0,318,15,10,8,0.2,0.2,1.1,22,4,182,228,NA,24,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
