"","Player","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles","Fls","Fld","Off","Crs","TklW","OG","PKwon","PKcon","Club"
"3275","Siriki Dembélé",8,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,2,2,100,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3276","Slavoljub Srnić",163,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,1,2,0,NA,NA,NA
"3277","Sofiane Boufal",852,3,3,2,2,23,8,3,1,540,13,4,8,3.5,2,2.7,52,5,325,425,980.7,41,29,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3278","Sofiane Diop",564,1,3,0,0,13,5,0,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3279","Sofyan Amrabat",995,0,0,0,0,5,1,8,0,761,18,13,12,0.1,0.1,0.4,21,0,606,676,1312.7,68,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3280","Sokratis Papastathopoulos",10,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3281","Solly March",1214,0,2,0,0,27,10,1,0,730,19,13,15,2.5,2.5,1.3,50,5,412,576,981.1,49,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3282","Son Heung-min",1568,5,2,0,0,49,21,1,0,686,17,6,10,5,5,3.8,74,7,354,509,1339.6,21,15,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3283","Son Jun-ho",17,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,10,12,83.3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3284","Sondre Sørli",172,0,1,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3285","Sorba Thomas",1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,3,4,75,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3286","Søren Rieks",34,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3287","Sory Kaba",187,0,1,0,0,5,2,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,0,0,0,NA,NA,NA
"3288","Sotiris Alexandropoulos",121,0,0,0,0,3,1,0,0,58,1,0,2,0.1,0.1,0,1,0,33,42,233.6,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3289","Soualiho Meïté",689,0,0,0,0,6,0,4,0,334,17,7,10,0.1,0.1,0,13,0,206,262,783.5,10,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3290","Souleyman Doumbia",1075,0,0,0,0,4,2,2,0,650,24,15,15,0.5,0.5,0.9,18,0,424,522,1058.3,19,12,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3291","Souleymane Cissé",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3292","Souleymane Touré",68,0,0,0,0,0,0,1,0,49,2,0,1,0,0,0,1,0,32,38,263.7,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3293","Soumaïla Coulibaly",19,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,1,0,14,15,93.3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3294","Soungoutou Magassa",74,0,0,0,0,0,0,0,0,37,3,1,2,0,0,0,0,0,22,27,81.5,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3295","Spas Delev",191,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3296","Srđan Babić",1138,1,0,0,0,2,2,1,0,658,12,7,7,0.3,0.3,0.1,14,0,503,579,1169.4,20,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3297","Srđan Krstović",163,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3298","Stanislav Buchnev",90,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3299","Stanislav Lobotka",1724,1,1,0,0,5,1,1,0,1332,43,7,20,0.1,0.1,0.8,38,4,1126,1211,1948.2,56,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3300","Stanley N'Soki",642,0,0,0,0,2,1,1,0,480,5,12,16,0,0,0.2,7,1,335,415,722.9,26,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
