"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"78","Alban Lafont",1259,2,1,1,0,3,0,0,0,0,0,0,0,14,6,0,NA
"79","Albert Sambi Lokonga",198,0,0,0,1,5,0,0,5,1,0,0,0,14,3,2,NA
"80","Alberto Del Moral",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"81","Alberto Grassi",324,1,0,0,7,3,0,0,11,9,0,0,0,31,11,4,NA
"82","Alberto Moreno",368,3,0,0,6,4,1,11,7,2,0,0,0,13,3,6,NA
"83","Alberto Perea",45,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,0
"84","Albin Ekdal",495,3,1,1,9,11,0,1,5,7,0,0,0,38,6,6,NA
"85","Aleix García",1245,1,0,0,11,18,0,94,17,7,0,0,0,60,7,3,NA
"86","Aleix Vidal",446,3,0,0,9,8,1,11,4,2,0,0,0,23,2,3,NA
"87","Alejandro Alfaro",15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA
"88","Alejandro Balde",1175,2,0,0,8,17,2,21,6,15,0,0,0,78,4,10,NA
"89","Alejandro Garnacho",84,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,NA
"90","Alejandro Pozo Pozo",580,0,0,0,1,3,0,25,11,5,0,0,0,49,4,6,NA
"91","Alejandro Revuelta Montero",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"92","Aleksa Terzić",262,0,0,0,0,3,1,21,3,3,0,0,0,14,2,4,NA
"93","Aleksandar Mitrović",1189,4,0,0,15,16,10,3,1,4,2,0,0,36,63,62,624.3
"94","Aleksandr Golovin",963,1,0,0,12,11,4,40,13,14,0,0,0,56,6,11,NA
"95","Aleksei Miranchuk",676,0,0,0,3,8,0,4,1,1,1,0,0,28,3,10,NA
"96","Aleš Čermák",32,0,0,0,1,0,0,2,2,1,0,0,0,4,0,0,NA
"97","Alessandro Bastoni",1124,4,0,0,14,6,0,17,14,10,0,0,0,61,17,11,NA
"98","Alessandro Buongiorno",906,5,0,0,23,11,0,3,23,3,0,0,0,57,37,11,NA
"99","Alessandro Cortinovis",6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
