"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"1447","Kastriot Dermaku",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1448","Kays Ruiz",62,1,0,0,2,3,0,0,3,1,0,0,0,10,0,0,NA
"1449","Keane Lewis-Potter",287,0,0,0,1,4,0,5,0,0,0,0,0,16,1,3,NA
"1450","Keanu Baccus",57,0,0,0,0,1,0,0,0,0,0,0,0,6,1,3,NA
"1451","Keidi Bare",330,0,0,0,9,7,0,4,11,3,0,0,0,16,4,8,NA
"1452","Kelechi Iheanacho",219,0,0,0,1,0,0,2,0,0,0,0,0,6,0,5,NA
"1453","Kellyn Acosta",43,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,NA
"1454","Kelvin Amian",419,3,0,0,8,2,1,5,3,4,0,0,0,19,13,11,NA
"1455","Kenan Karaman",361,2,0,0,5,4,4,4,1,4,0,0,0,13,12,5,NA
"1456","Kendall Waston",135,0,0,0,1,0,0,0,4,1,0,0,0,6,2,2,100
"1457","Kenedy",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"1458","Kenji-Van Boto",90,0,0,0,1,1,0,2,1,1,0,0,0,3,1,0,100
"1459","Kenneth Taylor",422,2,0,0,7,1,0,6,4,3,0,0,0,19,1,1,NA
"1460","Kenny Tete",708,5,0,0,14,6,0,18,12,17,0,0,0,26,10,9,NA
"1461","Kepa Arrizabalaga",945,1,0,0,0,2,0,0,1,2,0,0,0,16,5,2,NA
"1462","Kerem Demirbay",1051,3,0,0,24,12,1,72,10,11,0,0,0,66,4,7,NA
"1463","Kerim Calhanoglu",63,0,0,0,3,1,0,2,0,1,0,1,0,3,1,2,NA
"1464","Keven Schlotterbeck",14,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,NA
"1465","Kevin-Prince Boateng",108,0,0,0,10,2,0,2,0,1,0,0,0,9,1,2,NA
"1466","Kevin Agudelo",977,2,0,0,16,16,2,14,6,17,0,0,0,63,6,15,NA
"1467","Kevin Akpoguma",836,4,0,0,15,8,0,5,10,20,0,0,0,55,22,18,NA
"1468","Kevin Álvarez",70,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,NA
"1469","Kevin Behrens",449,1,0,0,11,8,1,2,2,2,0,0,0,12,60,49,864.8
"1470","Kevin Bonifazi",416,1,0,0,3,0,1,1,6,4,0,0,0,28,1,10,100
"1471","Kevin Danso",1350,3,0,0,17,29,1,0,14,9,0,1,0,95,38,13,1153.4
"1472","Kevin De Bruyne",1665,0,0,0,13,17,2,154,3,10,1,0,0,69,10,11,NA
"1473","Kevin Diks",335,0,0,0,5,1,0,2,4,7,0,0,0,14,8,3,NA
"1474","Kévin Gameiro",1065,0,0,0,5,10,3,13,4,6,1,0,0,48,7,11,NA
"1475","Kevin Jauch",2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,NA
"1476","Kevin Kampl",904,5,0,0,14,5,0,3,12,15,0,0,0,69,3,11,NA
"1477","Kévin Keben Biakolo",304,1,0,0,2,5,0,5,4,2,0,0,0,22,2,6,NA
"1478","Kevin Lasagna",842,1,0,0,17,15,10,6,3,3,0,0,0,38,6,26,NA
"1479","Kevin Mbabu",144,1,0,0,4,0,0,7,3,2,0,0,0,6,2,6,NA
"1480","Kevin Paredes",177,0,0,0,2,3,2,2,2,3,0,0,0,15,2,2,NA
"1481","Kevin Schade",182,0,0,0,4,6,0,3,0,4,0,0,0,7,17,12,493.3
"1482","Kevin Spadanuda",461,2,0,0,12,8,1,2,5,4,0,0,0,32,1,11,NA
"1483","Kevin Stöger",1203,1,0,0,19,29,0,72,15,15,0,0,0,69,5,17,NA
"1484","Kévin Théophile-Catherine",75,0,0,0,1,0,0,0,1,2,0,0,0,8,0,1,0
"1485","Kevin Trapp",1890,2,0,0,0,3,0,0,0,0,0,0,0,22,2,0,NA
"1486","Kevin Vázquez",71,0,0,0,3,0,0,1,0,1,0,0,0,7,0,1,0
"1487","Kevin Vogt",1191,6,0,0,15,9,0,1,18,10,0,0,0,91,4,10,NA
"1488","Kevin Volland",283,0,0,0,5,8,1,1,1,1,1,0,0,15,6,7,NA
"1489","Keylor Navas",180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
"1490","Keysher Fuller",180,0,0,0,2,3,1,1,3,4,0,0,0,7,0,0,NA
"1491","Khalil Fayad",329,0,1,0,8,4,0,1,2,7,0,0,0,27,2,11,NA
"1492","Khéphren Thuram-Ulie",908,1,0,0,15,4,0,6,10,11,0,0,0,50,6,9,NA
"1493","Khvicha Kvaratskhelia",1235,0,0,0,9,20,3,25,0,10,2,0,0,63,6,5,NA
"1494","Kieffer Moore",975,0,0,0,20,26,1,5,2,9,0,0,0,23,49,48,NA
"1495","Kieran Tierney",354,0,0,0,2,3,0,7,6,2,0,0,0,17,0,6,NA
"1496","Kieran Trippier",1530,3,0,0,13,10,3,140,21,26,0,0,0,118,22,16,NA
"1497","Kiernan Dewsbury-Hall",1134,1,0,0,13,14,0,29,13,10,0,0,0,70,10,7,NA
"1498","Kike",428,3,0,0,11,11,3,1,1,1,2,0,0,14,19,25,NA
"1499","Kike Barja",287,0,0,0,5,5,3,26,2,1,0,0,0,14,2,0,NA
"1500","Kike Pérez",966,2,0,0,19,27,3,32,8,7,0,0,0,66,13,9,NA
"1501","Kiko Femenía",847,0,0,0,6,6,0,24,14,3,0,0,0,38,6,2,NA
"1502","Kilian Fischer",114,1,0,0,2,2,0,2,2,0,0,0,0,4,1,2,NA
"1503","Kiliann Sildillia",1159,2,0,0,22,4,1,14,14,8,0,0,0,54,22,26,NA
"1504","Kim Jin-su",180,0,0,0,1,4,0,11,1,3,0,0,0,6,8,2,166.7
"1505","Kim Min-jae",1979,3,0,0,14,2,0,3,29,20,0,0,0,125,65,32,1630
"1506","Kim Moonhwan",180,0,0,0,1,0,0,11,2,2,0,0,0,10,4,3,100
"1507","Kim Seung-gyu",180,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,NA
"1508","Kim Young-gwon",180,1,0,0,1,0,0,1,1,1,0,0,0,4,5,1,175
"1509","Kingsley Coman",813,2,1,1,4,15,4,30,3,11,1,0,0,45,7,7,NA
"1510","Kingsley Ehizibue",408,2,0,0,10,8,1,9,3,7,0,0,0,33,7,4,NA
"1511","Kingsley Schindler",489,3,0,0,7,4,1,16,7,7,0,0,0,29,12,5,NA
"1512","Ko Itakura",595,1,1,0,7,2,0,1,10,5,0,0,0,26,10,9,NA
"1513","Koen Casteels",1350,0,0,0,0,1,0,0,1,0,0,0,0,25,1,0,NA
"1514","Koffi Djidji",1074,0,0,0,13,1,1,10,23,10,0,1,0,60,18,20,NA
"1515","Koke",1123,3,0,0,15,16,0,16,2,15,0,0,0,65,8,3,NA
"1516","Komnen Andrić",1012,3,0,0,10,28,5,1,8,4,1,0,0,24,31,31,672.7
"1517","Koni De Winter",535,3,0,0,8,2,0,0,6,5,0,0,0,23,9,6,NA
"1518","Konrad Laimer",415,2,0,0,9,3,1,4,4,7,0,0,0,28,0,1,NA
"1519","Konstantinos Mavropanos",1147,5,0,0,10,11,0,3,31,17,0,0,0,82,32,18,826.6
"1520","Koray Günter",1003,3,0,0,17,10,0,3,30,6,0,0,0,81,22,21,617.7
"1521","Kostas Stafylidis",372,2,0,0,10,10,0,8,5,10,0,0,0,24,5,6,NA
"1522","Kostas Tsimikas",708,1,0,0,9,12,0,90,7,8,0,0,0,43,6,13,NA
"1523","Kouadio Koné",1221,5,0,0,25,28,0,1,11,16,0,0,0,104,10,7,NA
"1524","Kouamé Botué",163,0,0,0,3,5,0,0,0,1,0,0,0,8,9,14,147.9
"1525","Krépin Diatta",1012,2,0,0,11,11,4,23,7,3,1,0,0,45,21,15,NA
"1526","Kristian Pedersen",267,1,0,0,4,1,0,4,5,4,0,0,0,18,10,4,396.7
"1527","Kristian Thorstvedt",794,3,0,0,13,17,0,6,9,5,0,0,0,35,21,10,NA
"1528","Kristijan Bistrović",355,0,0,0,2,3,1,14,0,1,0,0,0,6,2,4,NA
"1529","Kristijan Jakić",1518,3,0,0,24,8,1,18,8,22,0,1,0,126,18,22,NA
"1530","Kristjan Asllani",320,2,0,0,5,4,0,11,3,3,0,0,0,18,0,2,NA
"1531","Kristoffer Ajer",502,0,0,0,3,7,0,4,5,7,0,1,0,27,8,7,283.3
"1532","Kristoffer Askildsen",492,2,0,0,9,4,1,12,7,2,0,1,0,28,11,12,NA
"1533","Krystian Bielik",196,0,0,0,5,3,0,0,5,2,0,1,0,6,4,2,NA
"1534","Krzysztof Piątek",702,2,0,0,11,9,10,6,0,3,0,0,0,20,22,34,576.7
"1535","Kudus Mohammed",606,2,0,0,13,7,8,7,6,5,0,0,0,34,6,17,NA
"1536","Kurt Zouma",1184,0,0,0,6,3,0,0,13,2,0,0,0,48,31,4,NA
"1537","Kwon Chang-hoon",56,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0
"1538","Kwon Kyung-won",1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
"1539","Kye Rowles",270,0,0,0,1,2,0,0,6,2,0,0,0,8,4,2,175
"1540","Kyle Walker",616,0,0,0,3,4,0,5,5,1,0,0,0,34,8,2,NA
"1541","Kyle Walker-Peters",952,2,0,0,9,16,0,27,10,12,0,0,0,54,10,11,NA
"1542","Kylian Mbappé",1877,2,0,0,10,30,27,53,3,2,0,0,0,36,8,7,NA
"1543","Kyliane Dong",58,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,NA
"1544","Kyogo Furuhashi",359,1,0,0,5,2,0,3,0,0,0,0,0,5,1,4,NA
"1545","Lago Junior",52,0,0,0,3,1,0,2,0,0,0,0,0,7,4,1,NA
"1546","Lameck Banda",799,1,0,0,12,18,8,21,3,10,0,0,0,39,3,9,NA
"1547","Largie Ramazani",799,4,0,0,18,10,8,6,5,5,0,0,0,38,2,8,NA
"1548","Lars Stindl",680,4,0,0,12,8,4,10,4,2,0,0,0,27,4,12,NA
"1549","Lassana Coulibaly",1163,4,0,0,24,14,1,3,6,23,0,0,0,81,10,13,NA
"1550","Lassina Franck Traoré",244,0,0,0,4,4,3,0,0,0,0,0,0,3,5,5,NA
"1551","Lassine Sinayoko",861,2,1,1,13,11,3,18,7,10,0,0,0,61,10,21,NA
"1552","Latasa",61,0,0,0,1,3,0,0,1,1,0,0,0,1,8,7,NA
"1553","Lauren Ulrich",6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA
"1554","Laurent Abergel",807,2,0,0,7,9,0,2,12,17,0,0,0,51,2,2,NA
"1555","Lautaro Martínez",1808,3,0,0,28,38,15,7,11,8,1,0,0,69,27,33,NA
"1556","Lawrence Ati-Zigi",180,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA
"1557","Layvin Kurzawa",44,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,NA
"1558","Lazar Samardzic",528,0,0,0,8,7,0,21,7,6,0,0,0,42,3,11,NA
"1559","Lázaro",206,0,0,0,1,4,1,4,1,0,0,0,0,9,0,3,NA
"1560","Leander Dendoncker",675,1,0,0,4,0,0,3,15,8,0,0,0,41,6,11,NA
"1561","Leandro Barreiro Martins",668,2,0,0,9,5,1,3,10,9,0,0,0,42,12,10,NA
"1562","Leandro Cabrera",1107,1,1,0,12,7,1,3,20,5,0,0,0,61,36,19,NA
"1563","Leandro Paredes",886,3,0,0,13,11,0,21,14,9,1,1,0,57,6,1,NA
"1564","Leandro Sanca",25,0,0,0,0,0,0,2,0,1,0,0,0,4,0,2,NA
"1565","Leandro Trossard",1277,1,0,0,9,15,1,35,6,7,1,0,0,69,5,11,NA
"1566","Lebo Mothiba",156,0,0,0,4,3,0,3,0,0,0,0,0,4,0,5,NA
"1567","Lee Buchanan",223,1,0,0,4,3,0,11,7,5,0,0,0,11,5,3,NA
"1568","Lee Jae-sung",891,1,0,0,10,11,1,11,9,9,0,0,0,58,19,20,NA
"1569","Lee Kangin",1140,4,0,0,18,20,0,79,2,9,0,0,0,36,3,27,NA
"1570","Lennart Grill",360,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,NA
"1571","Leny Yoro",101,0,0,0,2,2,0,0,5,1,0,0,0,5,5,2,130
"1572","Léo Baptistão",564,3,0,0,15,6,5,8,8,9,0,0,0,40,7,18,NA
"1573","Leo Greiml",222,1,0,0,8,1,0,2,1,1,0,1,0,15,5,1,NA
"1574","Léo Leroy",256,3,0,0,7,3,0,1,2,10,0,0,0,25,7,4,NA
"1575","Leo Skiri Østigård",400,1,0,0,2,5,1,0,5,2,0,0,0,16,27,5,456.7
"1576","Leon Bailey",827,4,0,0,15,7,5,48,2,3,0,0,0,27,12,30,NA
"1577","Leon Goretzka",1061,3,0,0,18,10,1,6,8,24,0,0,0,95,20,7,NA
"1578","Leon King",374,0,0,0,1,1,0,1,5,5,0,1,0,14,4,6,NA
"1579","Leonardo Balerdi",1691,3,0,0,21,10,0,1,45,25,0,1,1,138,40,34,NA
"1580","Leonardo Bittencourt",572,3,0,0,18,12,2,9,7,9,0,0,0,47,1,6,NA
"1581","Leonardo Bonucci",1044,1,0,0,14,5,1,1,10,3,0,0,0,66,17,18,NA
"1582","Leonardo César Jardim",540,0,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
"1583","Leonardo Sernicola",905,4,0,0,22,21,3,43,18,16,0,0,0,56,13,5,NA
"1584","Leonardo Spinazzola",737,0,0,0,6,7,0,21,4,3,0,0,0,44,5,6,NA
"1585","Leroy Sané",1148,3,0,0,9,12,1,7,4,11,0,0,0,62,5,5,NA
"1586","Levi Colwill",103,0,0,0,1,0,0,0,5,1,0,0,0,9,7,2,NA
"1587","Levin Öztunalı",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1588","Lewis Cook",1193,2,0,0,10,6,0,28,14,16,0,0,0,99,5,7,NA
"1589","Lewis Dunk",1260,0,0,0,10,8,1,1,16,6,0,3,1,94,18,22,NA
"1590","Lewis Ferguson",510,1,0,0,13,13,0,3,7,5,0,0,0,28,6,11,NA
"1591","Lewis Hall",72,0,0,0,0,3,0,4,3,0,0,0,0,3,0,1,0
"1592","Lewis O'Brien",525,2,0,0,4,12,0,3,5,9,0,0,0,47,2,6,NA
"1593","Liam Cooper",675,1,0,0,4,4,0,0,16,8,0,0,0,52,24,14,514.5
"1594","Liam Henderson",598,4,0,0,24,6,2,17,7,6,0,0,0,34,3,4,NA
"1595","Liam Millar",10,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,NA
"1596","Liberato Cacace",130,0,0,0,3,2,0,6,0,5,0,1,0,7,2,7,25
"1597","Libor Holík",290,0,0,0,1,4,0,15,4,1,0,0,0,10,0,1,NA
"1598","Liel Abada",217,0,0,0,0,3,1,10,2,1,1,0,0,7,0,3,NA
"1599","Lilian Brassier",1200,2,0,0,10,6,0,28,26,7,0,0,0,74,17,9,NA
"1600","Lilian Egloff",236,1,0,0,3,5,0,2,1,9,0,0,0,12,1,3,NA
"1601","Linton Maina",808,0,0,0,11,9,11,23,1,5,0,0,0,33,1,4,NA
"1602","Lionel Messi",1830,0,0,0,9,35,4,54,2,12,1,0,0,46,2,4,NA
"1603","Lisandro Martínez",1326,3,0,0,14,8,0,1,20,13,0,0,0,79,20,15,NA
"1604","Lloyd Kelly",450,0,0,0,2,1,0,5,6,5,0,1,0,21,8,4,433.3
"1605","Logan Costa",45,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,NA
"1606","Lohann Doucet",64,0,0,0,1,0,0,0,1,0,0,0,0,10,0,2,NA
"1607","Loïc Bade",90,1,0,0,3,1,0,0,1,1,0,0,0,4,2,2,50
"1608","Lois Diony",437,1,0,0,10,3,2,3,0,0,0,0,0,6,18,19,NA
"1609","Loïs Openda",958,1,0,0,15,24,6,11,1,2,0,0,0,26,5,8,NA
"1610","Loren Morón",15,1,0,0,2,0,0,0,0,2,0,0,0,1,0,2,NA
"1611","Lorenz Assignon",179,2,0,0,2,2,0,2,2,2,0,0,0,12,2,4,NA
"1612","Lorenzo Colombo",444,2,0,0,13,5,4,1,1,2,0,0,0,12,12,45,NA
"1613","Lorenzo De Silvestri",518,1,0,0,4,5,2,6,2,2,0,0,1,28,9,8,NA
"1614","Lorenzo Montipò",1350,0,0,0,0,1,0,0,0,0,0,0,0,32,0,1,NA
"1615","Lorenzo Pellegrini",1099,2,0,0,12,24,2,66,10,10,0,0,0,57,5,11,NA
"1616","Lorenzo Pirola",400,0,0,0,4,2,0,0,8,9,0,0,0,6,6,9,266.6
"1617","Lorenzo Venuti",351,0,0,0,3,3,0,12,3,2,0,0,0,18,6,3,NA
"1618","Lovro Majer",584,2,0,0,19,13,0,24,9,4,0,0,0,58,0,2,NA
"1619","Luca Caldirola",894,2,0,0,11,9,0,0,9,3,0,0,0,36,19,11,NA
"1620","Luca D'Andrea",316,0,0,0,4,9,1,7,1,0,0,0,0,13,2,3,NA
"1621","Luca de la Torre",54,0,0,0,3,0,0,0,0,2,0,0,0,5,0,1,NA
"1622","Luca Kilian",1096,5,2,2,7,1,0,0,10,16,0,2,0,61,22,19,707.2
"1623","Luca Koleosho",25,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,NA
"1624","Luca Marrone",135,0,0,0,1,2,0,0,0,0,0,0,0,8,4,5,66.7
"1625","Luca Netz",143,0,0,0,3,0,0,1,1,4,0,0,0,7,1,2,NA
"1626","Luca Pellegrini",758,2,0,0,11,8,1,69,10,11,0,0,0,70,8,6,NA
"1627","Luca Pfeiffer",407,1,1,0,10,5,0,1,1,1,0,0,0,11,21,19,NA
"1628","Luca Ranieri",90,0,0,0,2,1,0,0,3,0,0,0,0,5,2,7,22.2
"1629","Luca Waldschmidt",277,0,0,0,6,1,1,1,2,1,0,1,0,12,1,2,NA
"1630","Luca Zanimacchia",658,2,0,0,8,10,2,42,9,11,1,0,0,41,2,8,NA
"1631","Lucas Alario",259,0,0,0,6,2,4,0,0,2,0,0,0,7,10,17,NA
"1632","Lucas Boyé",730,2,1,0,17,13,2,6,6,5,0,0,0,27,8,15,NA
"1633","Lucas Cavallini",19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"1634","Lucas Chevalier",810,0,0,0,0,2,0,0,1,1,0,0,0,12,0,0,NA
"1635","Lucas Digne",811,2,0,0,9,17,2,37,12,7,0,1,1,49,16,10,NA
"1636","Lucas Gourna-Douath",315,2,0,0,8,10,0,1,4,6,0,0,0,44,5,2,NA
"1637","Lucas Hernández",661,1,0,0,5,7,0,3,13,7,0,0,0,41,8,4,NA
"1638","Lucas Höler",101,0,0,0,1,2,1,0,0,1,0,0,0,7,1,3,NA
"1639","Lucas Martínez Quarta",1046,2,0,0,9,18,0,0,25,24,0,0,0,91,42,16,NA
"1640","Lucas Moura",273,0,0,0,2,4,4,10,2,7,0,0,0,12,4,3,NA
"1641","Lucas Ocampos",149,1,0,0,1,6,0,0,2,1,0,0,0,11,3,2,NA
"1642","Lucas Olaza",641,2,0,0,6,9,1,41,7,9,0,0,0,31,14,19,NA
"1643","Lucas Oliveira Rosa",323,1,0,0,4,4,0,9,7,6,0,0,0,15,3,4,NA
"1644","Lucas Paquetá",865,2,0,0,19,9,1,12,6,21,0,0,0,50,21,7,NA
"1645","Lucas Pérez",593,2,0,0,5,4,6,39,1,2,0,0,0,21,2,8,NA
"1646","Lucas Perrin",553,0,0,0,3,4,0,5,11,7,0,0,0,31,11,5,NA
"1647","Lucas Robertone",1016,3,0,0,15,30,2,52,16,8,0,0,0,60,7,17,NA
"1648","Lucas Taylor",312,1,0,0,5,4,0,2,3,2,0,0,0,17,1,3,NA
"1649","Lucas Torró",1122,5,0,0,26,17,0,1,13,13,0,0,0,77,26,23,NA
"1650","Lucas Tousart",1245,0,0,0,17,16,1,8,19,19,0,0,0,76,41,28,NA
"1651","Lucas Vázquez",554,2,0,0,11,7,2,22,7,8,0,0,0,27,0,4,NA
"1652","Lucas Veríssimo",3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA
"1653","Lucien Agoume",106,1,0,0,5,1,1,2,2,2,0,0,0,7,2,0,NA
"1654","Luděk Pernica",495,2,0,0,4,0,0,0,3,4,0,0,0,16,9,9,220
"1655","Ludovic Ajorque",508,1,0,0,9,6,1,0,1,1,0,0,0,14,31,24,NA
"1656","Ludovic Blas",1138,2,0,0,23,34,1,32,10,15,0,0,0,74,8,11,NA
"1657","Ludwig Augustinsson",53,1,0,0,1,1,0,1,0,1,0,0,0,6,4,1,NA
"1658","Luigi Sepe",1350,3,0,0,0,1,0,0,0,0,0,0,0,24,3,0,NA
"1659","Luis Alberto",545,1,0,0,4,2,0,31,2,3,0,0,0,37,2,4,NA
"1660","Luis Chávez",270,0,0,0,3,8,0,19,1,0,0,0,0,15,5,5,173.3
"1661","Luis Díaz",882,2,0,0,18,21,4,9,2,10,1,0,0,41,13,17,453.3
"1662","Luis Hernández",1079,2,1,1,7,2,2,5,11,5,0,0,0,52,16,11,NA
"1663","Luis Javier Suárez",407,2,0,0,9,9,1,1,3,1,0,0,0,7,8,24,NA
"1664","Luís Maximiano",5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"1665","Luis Milla",650,2,1,1,10,4,0,24,9,12,0,1,0,52,8,9,NA
"1666","Luis Muriel",518,2,1,1,8,6,2,24,0,3,1,0,0,15,6,14,293.3
"1667","Luís Neto",39,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100
"1668","Luis Pérez",387,1,0,0,4,3,0,10,5,8,0,0,0,12,0,7,NA
"1669","Luis Sinisterra",453,3,1,1,6,7,3,4,6,8,0,1,0,33,9,4,NA
"1670","Luis Suárez",81,0,0,0,0,2,1,0,0,0,0,0,0,1,1,3,33.3
"1671","Luiz Felipe",414,0,1,0,3,1,0,0,3,6,0,0,0,16,7,4,NA
"1672","Luiz Henrique",741,1,0,0,4,15,2,10,6,16,0,0,0,41,10,21,NA
"1673","Luka Ivanušec",524,2,0,0,8,3,0,4,6,2,0,0,0,35,4,3,NA
"1674","Luka Jović",749,2,0,0,13,6,4,1,2,2,0,0,0,7,14,26,NA
"1675","Luka Lochoshvili",964,1,0,0,18,5,1,5,14,7,0,1,0,48,18,8,NA
"1676","Luka Milivojević",279,0,0,0,8,2,0,2,6,5,0,0,0,21,5,2,NA
"1677","Luka Modrić",1449,4,0,0,21,12,1,50,14,9,0,0,0,75,11,6,NA
"1678","Luka Romero",119,0,0,0,2,6,0,0,3,0,0,0,0,9,0,1,NA
"1679","Luka Sučić",398,2,0,0,4,1,0,3,4,3,0,0,0,29,2,8,NA
"1680","Lukáš Hejda",512,0,0,0,6,1,0,1,7,3,0,0,0,10,6,7,146.7
"1681","Lukáš Hrádecký",1799,1,1,0,1,1,0,0,0,0,0,0,0,20,3,0,NA
"1682","Lukáš Kalvach",492,1,0,0,9,4,0,23,14,5,0,0,0,46,7,2,NA
"1683","Lukas Klostermann",111,0,0,0,1,0,0,1,0,1,0,0,0,10,3,0,NA
"1684","Lukas Kübler",422,0,0,0,7,0,0,13,4,4,0,0,0,30,9,6,317.1
"1685","Lukas Lerager",450,2,0,0,9,2,0,4,14,4,0,0,0,21,12,5,383.4
"1686","Lukas Nmecha",817,3,0,0,5,24,7,2,3,3,0,0,0,15,17,18,NA
"1687","Lukas Petkov",146,1,0,0,4,1,0,0,1,1,0,0,0,6,5,15,NA
"1688","Łukasz Fabiański",1243,0,0,0,0,2,0,0,0,0,0,0,0,8,4,0,NA
"1689","Łukasz Poręba",202,1,0,0,6,1,0,5,2,2,0,0,0,7,2,1,NA
"1690","Łukasz Skorupski",1350,2,0,0,0,3,0,0,0,1,0,0,0,19,4,0,NA
"1691","Luke Ayling",159,0,0,0,2,2,1,5,2,2,0,0,0,8,5,6,316.7
"1692","Luke Harris",7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA
"1693","Luke Shaw",1027,3,0,0,16,10,0,41,15,10,0,0,0,68,13,15,NA
"1694","Luke Thomas",273,1,0,0,2,3,0,3,5,4,0,0,1,18,4,5,NA
"1695","Lyanco",236,2,0,0,3,2,0,0,3,2,0,0,0,24,4,5,NA
"1696","Lynnt Audoor",11,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100
"1697","M'Bala Nzola",1350,4,0,0,31,16,6,3,4,3,0,0,0,33,21,51,418.1
"1698","M'Baye Niang",555,1,2,0,15,14,1,4,0,2,0,0,0,13,32,24,NA
"1699","Mads Bech Sørensen",20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA
"1700","Mads Pedersen",694,1,0,0,8,8,0,27,11,9,0,0,0,39,5,11,NA
"1701","Mads Roerslev",433,0,0,0,1,1,0,11,2,3,0,0,0,16,2,1,NA
"1702","Maghnes Akliouche",248,3,0,0,5,3,0,9,2,3,0,0,0,18,2,3,NA
"1703","Mahdi Camara",582,0,0,0,8,7,0,5,11,9,0,0,0,32,4,4,NA
"1704","Mahir Madatov",21,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,NA
"1705","Mahmoud Dahoud",182,0,0,0,2,1,0,1,4,6,0,0,0,15,0,2,NA
"1706","Majid Hosseini",270,1,0,0,4,1,1,0,6,4,0,0,0,22,6,4,163.3
"1707","Makoto Hasebe",464,2,0,0,4,10,0,0,5,6,0,0,0,46,9,2,NA
"1708","Malang Sarr",243,1,0,0,4,2,0,0,9,2,0,0,0,21,4,1,NA
"1709","Malcolm Ebiowei",34,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,NA
"1710","Malcom Abdulai Ares Djalo",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1711","Malick Thiaw",393,2,0,0,3,0,0,0,10,3,0,0,0,17,18,8,490.4
"1712","Malik Tillman",244,0,0,0,1,5,0,1,3,5,0,0,0,15,4,5,NA
"1713","Malo Gusto",1214,1,0,0,14,17,1,81,21,20,0,0,0,104,6,13,NA
"1714","Mama Samba Baldé",1206,2,1,0,18,16,13,6,4,8,1,0,0,48,19,24,632.1
"1715","Mamadou Mbaye",209,0,0,0,1,0,0,0,1,0,0,0,0,10,4,4,183.3
"1716","Mamadou Sakho",392,1,0,0,2,4,0,0,5,3,0,1,0,22,12,12,NA
"1717","Mamady Diarra",66,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,NA
"1718","Mamoudou Karamoko",45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16.7
"1719","Manolo Gabbiadini",573,2,0,0,10,19,5,13,1,0,0,0,0,14,15,23,NA
"1720","Manor Solomon",25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,NA
"1721","Manu Morlanes",145,0,0,0,1,0,0,0,1,2,0,0,0,4,1,2,NA
"1722","Manu Trigueros",250,1,0,0,4,6,0,0,1,2,0,0,0,7,0,2,NA
"1723","Manu Vallejo",206,0,0,0,1,6,1,7,1,1,2,0,0,8,0,5,NA
"1724","Manuel Akanji",1196,3,0,0,13,8,0,0,9,15,0,0,0,70,14,24,566.5
"1725","Manuel De Luca",33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"1726","Manuel Gulde",80,0,0,0,1,1,0,0,2,0,0,0,0,2,1,3,NA
"1727","Manuel Lanzini",126,0,0,0,1,0,1,1,0,0,0,0,0,7,0,1,NA
"1728","Manuel Lazzari",992,4,0,0,7,19,0,13,12,14,0,0,0,45,2,10,NA
"1729","Manuel Locatelli",1191,3,0,0,16,16,1,6,17,18,0,0,0,78,16,12,NA
"1730","Manuel Neuer",1530,0,0,0,0,2,0,0,0,0,0,0,0,23,3,0,NA
