"","Player","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"721","Ehsan Hajsafi",237,97,81,16,6,1,1,11,7,3,0,3,0,60,0,3
"722","El Bilal Touré",659,123,108,15,0,0,0,1,0,0,0,0,0,83,0,5
"723","El Chadaille Bitshiabu",8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
"724","Elba Rashani",766,289,270,18,3,0,2,30,14,1,0,0,0,205,1,16
"725","Eldor Shomurodov",119,33,31,2,0,0,0,0,1,0,0,0,0,25,0,1
"726","Elias Jelert",192,90,74,16,1,0,1,4,15,0,0,0,0,72,0,2
"727","Elif Elmas",675,367,351,14,5,1,0,7,1,7,2,2,0,314,2,0
"728","Eliot Matazo",355,131,127,3,2,0,1,0,0,0,0,0,0,106,1,0
"729","Elliot Anderson",103,50,47,2,0,0,0,3,1,1,0,0,0,36,1,4
"730","Ellyes Skhiri",1530,864,831,31,25,0,7,11,5,0,0,0,0,757,2,10
"731","Elseid Hysaj",385,286,242,44,5,1,2,2,39,0,0,0,0,243,0,3
"732","Elvis Rexhbeçaj",1219,373,349,20,13,3,0,11,2,4,3,0,0,217,4,14
"733","Emanuel Aiwum",967,492,413,77,17,1,4,4,55,0,0,0,0,379,2,9
"734","Emanuel Vignato",242,99,97,2,0,0,2,2,1,1,1,0,0,79,0,2
"735","Emanuele Valeri",1003,410,304,100,7,2,3,54,85,8,0,8,0,228,6,20
"736","Emerson",1283,778,643,130,11,0,6,44,117,2,0,0,0,609,5,30
"737","Emerson Palmieri",224,123,117,6,0,0,0,5,6,0,0,0,0,98,0,4
"738","Emi Buendía",726,363,337,25,5,3,2,11,3,4,2,0,0,287,1,13
"739","Emil Audero",1350,535,377,153,53,0,0,0,0,0,0,0,0,361,5,0
"740","Emil Bohinen",145,81,76,5,5,0,0,1,0,0,0,0,0,70,0,2
"741","Emil Ceide",263,78,77,1,0,1,0,3,1,0,0,0,0,58,0,4
"742","Emil Forsberg",860,354,346,7,3,3,1,8,1,2,0,2,0,300,1,8
"743","Emil Holm",1032,434,350,83,1,1,1,41,82,0,0,0,0,268,1,12
"744","Emil Krafth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"745","Emile Smith Rowe",51,22,20,2,0,0,0,2,0,2,2,0,0,19,0,1
"746","Emiliano Marcondes",9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"747","Emiliano Martínez",1474,541,394,144,42,1,1,0,0,0,0,0,0,390,3,1
"748","Emirhan İlkhan",87,43,41,2,2,0,2,0,0,0,0,0,0,36,0,0
"749","Emmanuel Agbadou",969,482,457,24,23,3,6,0,0,0,0,0,0,406,1,3
"750","Emmanuel Dennis",345,91,87,4,0,0,0,4,3,0,0,0,0,66,0,8
"751","Emmanuel Ekong",20,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"752","Emmanuel Gyasi",1034,254,214,40,3,1,1,8,18,2,0,0,0,203,0,7
"753","Emre Can",784,419,407,11,9,1,5,1,1,0,0,0,0,364,1,4
"754","Enes Ünal",1212,296,289,5,0,1,0,9,1,0,0,0,0,184,2,4
"755","Enner Valencia",255,57,54,3,0,0,0,3,1,0,0,0,0,40,0,5
"756","Enock Mwepu",213,78,76,2,0,0,1,3,0,0,0,0,0,61,0,3
"757","Enrique Valiente",458,303,297,5,5,0,1,1,0,0,0,0,0,249,1,1
"758","Enzo Barrenechea",3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
"759","Enzo Ebosse",767,474,408,65,14,0,8,13,50,1,0,0,0,379,1,3
"760","Enzo Fernández",493,401,380,21,12,0,5,11,1,8,4,1,0,352,0,4
"761","Enzo Le Fée",1331,906,781,122,52,4,8,64,3,48,17,21,1,729,3,20
"762","Enzo Millot",354,149,140,8,3,1,0,9,1,4,2,2,0,118,1,5
"763","Enzo Roco",795,409,386,21,21,1,2,0,0,0,0,0,0,348,2,3
"764","Enzo Tchato",692,326,260,64,4,0,0,29,60,0,0,0,0,235,2,5
"765","Eray Cömert",872,556,522,32,25,0,12,1,0,0,0,0,0,485,2,3
"766","Eren Dinkçi",52,22,21,1,0,0,0,2,1,0,0,0,0,11,0,1
"767","Erhan Mašović",724,344,335,8,6,0,1,1,1,0,0,0,0,286,1,4
"768","Eric Bailly",513,308,292,13,11,0,0,0,2,0,0,0,0,263,3,0
"769","Eric Dier",1833,1472,1428,40,33,1,12,13,6,0,0,0,0,1292,4,14
"770","Eric García",743,635,604,29,23,0,9,0,6,0,0,0,0,588,2,0
"771","Eric Martel",767,365,361,3,3,1,0,8,0,0,0,0,0,291,1,8
"772","Eric Maxim Choupo-Moting",908,244,224,16,0,6,0,1,0,0,0,0,0,183,4,2
"773","Erick Gutiérrez",49,29,28,1,1,0,0,0,0,0,0,0,0,24,0,0
"774","Erik Botheim",334,85,82,2,0,0,0,3,0,0,0,0,0,54,1,4
"775","Erik Jirka",266,74,70,4,0,0,0,4,2,0,0,0,0,49,0,4
"776","Érik Lamela",1234,525,501,17,1,1,1,17,5,7,4,0,0,411,7,16
"777","Erik Palmer-Brown",1247,534,511,20,20,0,3,2,0,0,0,0,0,455,3,4
"778","Erling Haaland",1240,225,195,26,0,2,0,3,0,0,0,0,0,169,4,8
"779","Ermedin Demirović",1142,255,240,11,0,1,1,13,3,0,0,0,0,120,4,17
"780","Esteban Saveljich",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"781","Ethan Ampadu",1088,613,547,61,24,2,12,8,37,0,0,0,0,462,5,12
"782","Ethan Nwaneri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"783","Ethan Pinnock",630,286,251,33,6,0,1,1,27,0,0,0,0,217,2,2
"784","Étienne Capoue",836,454,440,14,12,4,2,4,2,0,0,0,0,398,0,5
"785","Evanilson",403,98,95,3,1,1,0,1,0,0,0,0,0,81,0,1
"786","Evann Guessand",636,162,159,2,1,0,2,15,0,0,0,0,0,117,1,5
"787","Exequiel Palacios",675,454,438,13,10,0,2,8,1,1,0,1,0,381,3,4
"788","Ezequiel Ávila",838,260,242,17,4,0,11,43,5,6,3,3,0,144,1,8
"789","Ezequiel Ponce",512,117,112,3,0,1,1,1,0,0,0,0,0,84,2,4
"790","Ezri Konsa",1261,673,639,32,17,1,2,3,14,0,0,0,0,562,2,9
"791","Fabian Frei",25,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
"792","Fabian Rieder",68,26,24,2,0,0,1,1,0,2,0,1,0,13,0,0
"793","Fabián Ruiz Peña",579,545,536,9,9,3,2,0,0,0,0,0,0,509,0,6
"794","Fabian Schär",1243,699,670,29,28,2,15,7,1,0,0,0,0,525,0,5
"795","Fabiano Parisi",1220,647,500,143,18,1,4,28,124,1,1,0,0,478,4,21
"796","Fabien Centonze",173,103,89,14,1,0,0,7,13,0,0,0,0,74,0,2
"797","Fabinho",1449,1038,1006,30,26,2,2,3,4,0,0,0,0,905,2,10
"798","Fábio",224,117,94,21,1,0,0,6,20,0,0,0,0,87,2,2
"799","Fábio Cardoso",270,120,116,4,4,0,0,0,0,0,0,0,0,102,0,1
"800","Fabio Carvalho",451,190,187,2,0,1,0,3,1,0,0,0,0,157,1,3
"801","Fabio Chiarodia",3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"802","Fabio Depaoli",804,327,252,73,2,1,0,26,69,2,1,1,0,227,2,8
"803","Fabio Miretti",837,367,351,13,1,1,4,15,1,9,4,4,0,259,3,14
"804","Fabio Quagliarella",328,99,92,7,1,1,3,7,2,0,0,0,0,66,0,5
"805","Fabio Vieira",246,124,118,6,4,0,0,8,1,1,1,0,0,97,0,2
"806","Fabrizio Angileri",510,221,158,63,3,0,2,9,60,0,0,0,0,130,0,12
"807","Facundo Medina",1225,1132,1057,75,55,2,10,10,15,0,0,0,0,1007,0,8
"808","Facundo Pellistri",116,33,33,0,0,0,0,3,0,0,0,0,0,23,0,3
"809","Faitout Maouassa",655,187,147,38,1,1,2,31,27,10,6,2,0,121,2,8
"810","Falaye Sacko",881,420,360,59,9,0,0,14,50,0,0,0,0,341,1,9
"811","Fali",556,207,203,4,4,1,4,0,0,0,0,0,0,159,0,2
"812","Famara Diedhiou",73,9,9,0,0,0,0,0,0,0,0,0,0,6,0,2
"813","Fares Chaïbi",832,288,276,10,2,3,3,16,3,2,1,0,0,204,2,13
"814","Farid El Melali",190,69,58,11,1,0,0,3,10,0,0,0,0,48,0,1
"815","Faride Alidou",156,83,68,15,1,0,0,3,14,0,0,0,0,67,0,1
"816","Fashion Sakala",235,52,48,4,0,0,0,8,2,0,0,0,0,36,0,6
"817","Fede San Emeterio",789,299,287,8,8,0,4,0,0,0,0,0,0,240,4,6
"818","Federico Baschirotto",1350,573,515,56,32,1,9,6,18,0,0,0,0,427,2,5
"819","Federico Bonazzoli",732,218,198,19,1,1,12,2,0,0,0,0,0,166,1,9
"820","Federico Ceccherini",634,297,261,36,10,0,1,3,25,0,0,0,0,229,0,8
"821","Federico Chiesa",62,37,31,6,0,0,1,2,6,0,0,0,0,32,0,2
"822","Federico Di Francesco",652,163,156,7,1,2,0,10,2,4,0,2,0,109,0,5
"823","Federico Dimarco",1214,782,648,130,27,0,20,120,63,34,7,24,0,565,4,11
"824","Federico Fazio",809,436,407,29,14,0,8,3,15,0,0,0,0,342,0,6
"825","Federico Fernández",90,14,13,1,1,0,0,0,0,0,0,0,0,8,0,0
"826","Federico Gatti",540,328,311,16,13,0,10,2,0,0,0,0,0,279,1,2
"827","Federico Valverde",1715,1082,1054,23,10,4,21,30,9,4,0,3,0,939,5,21
"828","Felipe",270,183,179,3,2,0,0,0,1,0,0,0,0,164,1,1
"829","Felipe Anderson",1217,490,474,14,0,1,1,14,6,0,0,0,0,382,2,14
"830","Felix Afena-Gyan",220,40,38,2,0,0,0,1,1,0,0,0,0,32,0,1
"831","Felix Agu",49,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2
"832","Felix Kalu Nmecha",665,198,195,3,1,5,2,2,1,0,0,0,0,141,0,6
"833","Felix Passlack",139,97,84,13,0,0,1,4,13,0,0,0,0,78,0,2
"834","Félix Torres Caicedo",270,208,196,10,10,0,1,0,0,0,0,0,0,168,2,3
"835","Ferjani Sassi",48,34,33,0,0,0,0,0,0,0,0,0,0,25,1,0
"836","Ferland Mendy",1231,879,802,76,12,0,3,8,64,0,0,0,0,817,1,4
"837","Fernand Mayembo",284,134,126,8,7,0,1,0,0,0,0,0,0,119,0,1
"838","Fernando",1819,799,616,181,64,0,12,2,2,0,0,0,0,633,2,4
"839","Fernando Calero",873,441,392,47,16,0,7,4,31,0,0,0,0,362,2,1
"840","Fernando Pacheco",90,31,22,8,4,0,0,0,0,0,0,0,0,20,1,0
"841","Ferrán Torres",857,351,339,10,3,0,2,15,4,1,0,0,0,273,2,19
"842","Festy Ebosele",10,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
"843","Fidel",165,79,72,6,1,0,0,12,0,5,0,5,0,48,1,2
"844","Fikayo Tomori",1571,996,908,85,29,1,10,3,10,0,0,0,0,876,3,11
"845","Filip Đuričić",1011,375,348,26,8,1,3,20,8,8,0,7,0,285,1,20
"846","Filip Kostić",1656,872,770,97,13,2,5,160,53,31,6,24,0,597,5,39
"847","Filip Mladenović",65,25,18,7,0,0,0,1,7,0,0,0,0,20,0,1
"848","Filip Uremović",555,218,204,13,13,0,1,0,0,0,0,0,0,177,1,2
"849","Filippo Bandinelli",1050,459,418,38,4,1,3,46,27,6,3,3,0,330,3,20
"850","Filippo Ranocchia",332,138,130,8,6,1,6,7,0,2,0,2,0,113,0,1
"851","Filippo Terracciano",461,177,158,19,5,0,2,13,12,2,1,1,0,123,0,6
"852","Finn Ole Becker",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"853","Firas Al-Buraikan",178,38,38,0,0,0,0,2,0,0,0,0,0,29,0,4
"854","Fisnik Asllani",42,15,15,0,0,0,0,2,0,0,0,0,0,7,0,0
"855","Flavien Tait",1044,639,618,18,16,2,6,5,1,1,0,0,0,542,3,11
"856","Flávio Nazinho",120,22,19,3,0,0,0,1,3,0,0,0,0,14,0,0
"857","Flavius Daniliuc",936,576,548,27,15,0,8,2,12,0,0,0,0,512,1,5
"858","Florent Mollet",410,152,138,14,4,0,0,9,2,4,2,2,0,113,0,7
"859","Florent Ogier",672,383,363,20,8,0,1,2,12,0,0,0,0,322,0,6
"860","Florentino Luís",526,311,306,5,5,0,3,0,0,0,0,0,0,272,0,6
"861","Florian Dietz",395,76,66,9,0,0,0,4,2,0,0,0,0,39,1,3
"862","Florian Flick",512,185,180,3,3,0,1,1,0,0,0,0,0,129,2,3
"863","Florian Grillitsch",59,41,37,4,4,0,0,3,0,0,0,0,0,34,0,1
"864","Florian Kainz",1031,502,378,116,35,3,1,121,10,71,32,26,0,298,8,18
"865","Florian Lejeune",948,528,504,22,21,0,17,1,1,0,0,0,0,432,2,4
"866","Florian Müller",1350,576,446,130,18,0,1,0,1,0,0,0,0,476,0,1
"867","Florian Neuhaus",468,167,167,0,0,3,1,4,0,0,0,0,0,125,0,5
"868","Florian Niederlechner",910,200,175,24,1,2,0,4,3,0,0,0,0,118,1,9
"869","Florian Sotoca",1234,636,619,13,4,8,9,33,9,0,0,0,0,496,4,18
"870","Florian Tardieu",877,678,606,71,36,0,13,41,4,31,19,7,0,587,1,3
"871","Flynn Downes",265,102,99,3,0,0,1,2,0,0,0,0,0,87,0,1
"872","Fodé Ballo-Touré",241,138,108,30,2,0,1,10,28,0,0,0,0,115,0,4
"873","Folarin Balogun",1076,198,184,13,0,3,0,9,0,0,0,0,0,125,1,8
"874","Fortune Bassey",134,27,25,2,0,0,0,0,0,0,0,0,0,22,0,0
"875","Fran Beltrán",1123,772,721,50,33,0,5,7,2,3,1,1,0,709,1,7
"876","Fran Delgado",12,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0
"877","Fran Karačić",74,38,29,9,0,0,0,4,9,0,0,0,0,22,0,1
"878","Francesco Acerbi",945,744,707,37,23,0,11,2,8,0,0,0,0,673,0,1
"879","Francesco Caputo",1094,237,208,28,0,0,0,3,2,0,0,0,0,168,1,9
"880","Francis Coquelin",523,204,196,5,5,1,3,4,0,0,0,0,0,172,3,3
"881","Francisco Calvo",180,104,93,11,4,0,3,0,6,0,0,0,0,86,0,0
"882","Francisco Conceição",17,14,11,3,1,0,0,0,2,0,0,0,0,13,0,0
"883","Francisco Garcia",1259,802,648,152,9,0,3,72,143,0,0,0,0,650,2,21
"884","Francisco Perez",21,14,13,1,0,0,0,1,1,0,0,0,0,12,0,0
"885","Francisco Portillo",201,140,132,7,1,2,0,4,3,3,0,1,0,112,1,2
"886","Francisco Trincão",386,120,112,8,3,0,0,5,1,2,0,2,0,91,0,7
"887","Franck Honorat",1162,485,420,62,9,0,6,92,11,39,13,19,2,319,3,20
"888","Franck Kessié",471,273,267,5,3,1,3,5,2,0,0,0,0,238,1,5
"889","Franck Ribéry",37,22,21,0,0,0,0,0,0,0,0,0,0,19,1,0
"890","Franco Cervi",1017,379,350,28,6,0,0,44,2,20,4,13,0,268,1,13
"891","Franco Israel",155,70,40,30,8,0,0,0,0,0,0,0,0,43,0,0
"892","Franco Russo",77,33,31,2,1,0,1,0,1,0,0,0,0,27,0,0
"893","François-Joseph Sollacaro",90,13,9,4,1,0,0,0,0,0,0,0,0,9,0,0
"894","Frank Onyeka",442,129,128,1,0,0,0,1,1,0,0,0,0,97,0,2
"895","Frank Tsadjout",103,21,20,1,0,0,0,0,0,0,0,0,0,12,0,0
"896","Frantzdy Pierrot",481,78,74,4,0,0,0,2,1,0,0,0,0,56,0,3
"897","Fred",471,303,294,7,6,3,1,3,0,0,0,0,0,244,2,8
"898","Frederik Rønnow",990,449,352,96,28,0,0,0,0,0,0,0,0,317,1,1
"899","Frederik Winther",90,35,33,2,2,0,1,0,0,0,0,0,0,22,0,0
"900","Fredrik Aursnes",260,134,133,1,0,1,4,2,1,0,0,0,0,111,0,5
"901","Fredrik Jensen",617,216,181,33,3,0,1,22,18,12,4,8,0,118,2,9
"902","Frenkie de Jong",1375,1110,1068,37,23,9,7,11,10,2,1,0,0,993,5,17
"903","Gabriel Dos Santos",1260,879,841,37,29,0,7,2,1,0,0,0,0,788,1,6
"904","Gabriel Gudmundsson",109,41,38,3,1,0,0,6,2,0,0,0,0,29,0,0
"905","Gabriel Jesus",1249,418,385,32,1,1,3,8,7,0,0,0,0,336,1,13
"906","Gabriel Paulista",579,384,350,33,15,0,7,0,1,0,0,0,0,338,1,2
"907","Gabriel Strefezza",889,295,256,33,9,2,5,38,7,17,7,7,0,177,6,14
"908","Gabriel Veiga",577,247,232,13,3,2,0,8,0,1,1,0,0,192,2,2
"909","Gabriel Veron",47,17,16,1,0,0,0,2,1,0,0,0,0,11,0,2
"910","Gabriel Vidovic",19,13,13,0,0,0,0,0,0,0,0,0,0,10,0,1
"911","Gaël Kakuta",22,16,16,0,0,0,0,1,0,0,0,0,0,12,0,1
"912","Gaël Ondoua",47,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
"913","Gaëtan Charbonnier",254,89,78,11,0,0,2,1,1,0,0,0,0,79,0,2
"914","Gaëtan Laborde",983,263,242,18,0,1,1,15,0,0,0,0,0,174,3,12
"915","Gaëtan Perrin",440,155,152,2,0,2,5,3,2,0,0,0,0,117,1,5
"916","Galeno",423,129,120,7,0,0,1,9,7,0,0,0,0,86,2,9
"917","Garang Kuol",18,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
"918","Gareth Bale",225,53,49,4,0,0,3,2,2,0,0,0,0,33,0,2
"919","Gary Medel",1135,804,766,38,35,1,6,4,2,0,0,0,0,708,0,7
"920","Gastón Álvarez",429,129,115,14,2,0,0,3,12,0,0,0,0,86,0,4
"921","Gauthier Gallon",1080,342,211,128,41,0,3,0,0,0,0,0,0,253,3,0
"922","Gauthier Hein",669,326,297,28,6,0,12,26,8,14,4,6,0,270,1,3
"923","Gavi",1206,657,629,27,10,4,5,22,7,0,0,0,0,574,1,15
"924","Gavin Bazunu",1350,587,435,149,41,0,0,0,0,0,0,0,0,365,3,0
"925","Gedeon Kalulu",1080,565,464,99,19,0,3,13,80,0,0,0,0,434,2,14
"926","Gelson Martins",111,50,49,1,0,0,0,1,1,0,0,0,0,42,0,1
"927","Genki Haraguchi",362,116,109,7,0,0,0,2,0,0,0,0,0,90,0,5
"928","Geoffrey Kondogbia",899,604,593,9,7,0,13,2,2,0,0,0,0,539,2,2
"929","Georges-Kévin N'Koudou",27,12,11,1,0,0,1,2,0,1,0,0,0,9,0,2
"930","Georginio Rutter",1009,158,157,1,0,1,2,11,0,0,0,0,0,95,0,12
"931","Georginio Wijnaldum",13,11,10,0,0,0,0,0,0,0,0,0,0,10,1,0
"932","Gerard Deulofeu",1198,580,469,108,27,1,0,57,14,41,20,12,0,436,3,14
"933","Gerard Gumbau",831,432,373,53,20,2,13,41,1,28,15,11,0,338,6,7
"934","Gerard Moreno",382,129,127,0,0,1,1,3,0,0,0,0,0,87,2,9
"935","Gerard Piqué",552,568,553,13,8,0,9,0,0,0,0,0,0,524,2,2
"936","Gerard Yepes",198,105,99,6,6,0,0,0,0,0,0,0,0,77,0,0
"937","Germán Pezzella",911,507,489,17,17,1,2,2,0,0,0,0,0,446,1,3
"938","Gerónimo Rulli",1260,543,419,124,32,0,0,0,0,0,0,0,0,464,0,2
"939","Gerrit Holtmann",736,218,209,9,1,1,0,47,5,1,0,0,0,124,0,17
"940","Gerson",538,248,235,10,4,0,1,5,5,1,0,0,0,202,3,8
"941","Gerson Torres",64,16,14,2,2,0,0,0,0,0,0,0,0,16,0,0
"942","Gerzino Nyamsi",657,390,376,14,14,0,2,1,0,0,0,0,0,336,0,3
"943","Ghaylène Chaalali",17,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"944","Ghjuvanni Quilichini",82,34,20,14,6,0,0,0,0,0,0,0,0,14,0,0
"945","Giacomo Bonaventura",930,438,424,14,5,2,1,15,3,1,0,1,0,372,0,9
"946","Giacomo Quagliata",412,202,148,53,0,0,0,34,49,4,0,3,0,121,1,9
"947","Giacomo Raspadori",770,356,327,29,7,1,7,15,1,10,6,1,0,276,0,12
"948","Gian Marco Ferrari",1258,689,609,78,56,0,12,0,4,0,0,0,0,593,2,3
"949","Giangiacomo Magnani",142,35,35,0,0,0,0,0,0,0,0,0,0,21,0,0
"950","Gianluca Caprari",958,421,406,13,4,0,4,20,1,3,0,3,0,348,2,9
"951","Gianluca Gaetano",64,61,56,3,3,0,0,0,0,0,0,0,0,50,2,0
"952","Gianluca Mancini",1193,697,668,25,21,1,10,9,2,0,0,0,0,584,4,4
"953","Gianluca Scamacca",755,149,147,1,0,0,6,1,0,0,0,0,0,99,1,5
"954","Gianluigi Donnarumma",1890,555,420,134,27,0,1,0,0,0,0,0,0,483,1,0
"955","Gideon Mensah",717,463,395,67,7,0,2,19,60,0,0,0,0,377,1,8
"956","Gilberto",38,13,10,3,0,0,0,0,3,0,0,0,0,8,0,1
"957","Gio Reyna",672,268,243,24,6,0,0,21,9,9,4,4,0,193,1,9
"958","Giorgi Mamardashvili",1260,424,321,101,38,0,2,0,0,0,0,0,0,335,2,1
"959","Giorgian De Arrascaeta",29,26,23,3,1,0,0,2,1,1,0,1,0,18,0,1
"960","Giorgio Scalvini",647,333,322,9,7,1,11,5,2,0,0,0,0,245,2,7
"961","Giorgos Giakoumakis",246,34,34,0,0,0,0,0,0,0,0,0,0,21,0,2
"962","Giorgos Kyriakopoulos",721,371,316,52,7,0,6,38,36,9,2,4,0,286,3,9
"963","Giovani Lo Celso",521,267,252,14,3,1,3,5,3,7,2,0,0,222,1,7
"964","Giovanni Di Lorenzo",1866,1366,1147,215,47,5,13,54,165,2,0,0,0,1174,4,17
"965","Giovanni González",344,170,149,21,1,0,0,7,20,0,0,0,0,130,0,1
"966","Giovanni Simeone",394,108,106,2,0,0,1,6,0,0,0,0,0,78,0,5
"967","Giulian Biancone",17,21,19,2,0,0,0,1,2,0,0,0,0,15,0,0
"968","Giulio Donati",212,161,143,17,4,0,2,5,13,0,0,0,0,137,1,2
"969","Giulio Maggiore",653,358,347,7,5,3,3,2,1,0,0,0,0,273,4,6
"970","Giuseppe Pezzella",434,247,187,59,8,0,3,10,50,1,0,1,0,197,1,6
"971","Gleison Bremer",1394,930,893,37,13,0,4,0,1,0,0,0,0,838,0,4
"972","Glen Kamara",127,40,37,3,3,0,0,0,0,0,0,0,0,39,0,0
"973","Gonçalo Borges",38,15,15,0,0,0,0,1,0,0,0,0,0,9,0,0
"974","Gonçalo Guedes",689,198,179,19,2,0,4,27,2,14,3,8,2,136,0,8
"975","Gonçalo Inácio",540,378,355,22,19,0,4,0,1,0,0,0,0,330,1,2
"976","Gonçalo Paciência",331,67,65,2,0,1,1,2,1,0,0,0,0,38,0,3
"977","Gonçalo Ramos",407,93,89,3,0,0,0,3,0,0,0,0,0,62,1,3
"978","Gonzalo Escalante",555,290,279,8,4,0,1,1,0,0,0,0,0,222,3,8
"979","Gonzalo Melero",536,229,226,2,2,0,2,0,0,0,0,0,0,203,1,2
"980","Gonzalo Montiel",873,542,471,70,8,2,2,30,62,0,0,0,0,432,1,11
"981","Gonzalo Plata",861,313,288,24,4,1,0,23,10,6,6,0,0,239,1,12
"982","Gonzalo Verdú",388,188,178,10,10,0,0,0,0,0,0,0,0,155,0,0
"983","Gonzalo Villar",659,370,335,34,30,0,0,7,0,3,1,2,0,308,1,1
"984","Gorka Guruzeta",203,55,51,4,0,0,0,0,2,0,0,0,0,45,0,4
"985","Granit Xhaka",1346,759,723,34,24,1,2,13,9,1,0,0,0,639,2,9
"986","Greg Taylor",540,399,339,59,6,0,0,8,52,1,0,0,0,338,1,9
"987","Grégoire Defrel",126,23,21,2,0,0,0,0,0,0,0,0,0,17,0,0
"988","Gregor Kobel",1215,525,406,116,27,0,0,0,0,0,0,0,0,432,3,0
"989","Grejohn Kyei",596,127,120,6,0,1,1,4,0,0,0,0,0,88,1,6
"990","Grigoris Kastanos",261,113,106,4,4,0,4,4,0,0,0,0,0,82,3,5
"991","Grischa Prömel",1071,347,331,12,6,0,0,4,3,0,0,0,0,273,4,9
"992","Grzegorz Krychowiak",180,57,53,4,4,0,1,1,0,0,0,0,0,37,0,1
"993","Guglielmo Vicario",1350,623,481,141,56,0,0,0,0,0,0,0,0,446,1,0
"994","Guido Rodríguez",1099,666,629,35,33,2,12,3,2,0,0,0,0,584,2,6
"995","Guillermo Maripán",765,356,337,19,15,0,1,0,0,0,0,0,0,314,0,4
"996","Guillermo Ochoa",180,64,42,20,5,0,0,0,0,0,0,0,0,52,2,0
"997","Guillermo Varela",93,35,29,6,1,0,1,5,5,0,0,0,0,24,0,1
"998","Habib Diallo",1131,266,254,9,1,2,2,2,0,0,0,0,0,184,3,11
"999","Haji Wright",113,18,16,2,0,0,0,1,0,0,0,0,0,11,0,1
"1000","Hakan Çalhanoğlu",1356,864,770,91,37,3,11,74,4,50,12,36,0,731,3,9
"1001","Hakim Ziyech",390,200,179,16,8,1,9,30,2,5,2,2,0,125,5,9
"1002","Hákon Arnar Haraldsson",262,92,84,7,0,0,1,3,0,3,3,0,0,73,1,1
"1003","Halid Šabanović",258,141,108,33,0,0,0,3,33,0,0,0,0,114,0,2
"1004","Halil Dervişoğlu",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1005","Hamari Traoré",1183,918,802,114,19,2,4,25,95,0,0,0,0,789,2,14
"1006","Hamed Junior Traorè",239,85,76,8,1,0,0,11,1,6,1,2,0,59,1,8
"1007","Hamza Sakhi",1194,665,626,34,16,3,20,54,0,18,1,15,0,543,5,6
"1008","Hannes Wolf",53,14,14,0,0,0,1,0,0,0,0,0,0,10,0,1
"1009","Hannibal Mejbri",11,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"1010","Hans Hateboer",1044,526,418,106,3,2,1,17,103,0,0,0,0,413,2,10
"1011","Hans Vanaken",450,294,280,13,13,2,9,1,0,0,0,0,0,248,1,4
"1012","Haris Belkebla",1087,586,566,17,12,1,6,5,3,0,0,0,0,489,3,14
"1013","Haris Seferović",34,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0
"1014","Harrison Reed",1175,450,430,19,5,0,2,20,2,2,1,1,0,332,1,10
"1015","Harry Kane",2097,605,556,41,8,10,10,31,15,0,0,0,0,411,8,20
"1016","Harry Maguire",530,415,402,13,13,0,4,1,0,0,0,0,0,367,0,3
"1017","Harry Souttar",270,110,107,3,3,0,1,0,0,0,0,0,0,85,0,0
"1018","Harry Toffolo",577,255,208,47,2,0,0,19,45,0,0,0,0,170,0,9
"1019","Harry Wilson",428,168,154,14,5,0,1,16,1,7,5,0,0,125,0,7
"1020","Harvey Barnes",1086,321,313,7,0,2,0,15,5,0,0,0,0,231,1,10
"1021","Harvey Elliott",1214,735,707,24,0,4,3,22,5,1,0,0,0,588,4,16
"1022","Hassan Al-Haydos",206,80,75,5,2,0,2,4,1,2,2,0,0,65,0,3
"1023","Hassan Al Tambakti",90,33,28,5,5,0,0,0,0,0,0,0,0,24,0,1
"1024","Hattan Bahebri",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"1025","Héctor Bellerín",323,194,161,31,2,1,1,8,29,0,0,0,0,156,2,7
"1026","Héctor Herrera",160,78,76,2,2,0,2,4,0,0,0,0,0,64,0,3
"1027","Héctor Moreno",180,132,125,7,7,0,1,0,0,0,0,0,0,110,0,0
