"","Player","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"2472","Santiago Arzamendia",255,99,81,18,2,0,0,5,16,0,0,0,0,68,0,7
"2473","Santiago Ascacíbar",699,415,396,17,9,0,4,5,3,5,0,3,0,340,2,9
"2474","Santiago Bueno",1260,821,779,42,34,0,8,1,8,0,0,0,0,717,0,5
"2475","Sardar Azmoun",414,107,100,6,0,0,0,0,1,0,0,0,0,64,1,1
"2476","Sargis Adamyan",434,121,106,14,0,1,1,9,6,0,0,0,0,88,1,2
"2477","Sasa Kalajdzic",278,67,64,3,0,1,1,0,0,0,0,0,0,42,0,3
"2478","Saša Lukić",1080,651,622,27,20,2,6,20,3,4,0,4,0,565,2,6
"2479","Saud Abdulhamid",180,94,76,18,2,0,1,8,16,0,0,0,0,75,0,2
"2480","Saúl Ñíguez",746,370,333,34,1,0,1,15,32,0,0,0,0,283,3,8
"2481","Scott Arfield",267,87,83,3,0,0,0,2,0,3,0,1,0,59,1,4
"2482","Scott McKenna",1260,604,573,29,8,0,2,2,21,0,0,0,0,484,2,0
"2483","Scott McTominay",640,234,229,4,3,1,3,1,1,0,0,0,0,191,1,1
"2484","Scott Wright",136,37,37,0,0,0,0,2,0,0,0,0,0,25,0,1
"2485","Sead Haksabanović",229,107,91,16,4,1,2,18,1,9,4,2,0,78,0,2
"2486","Sead Kolašinac",644,384,357,27,15,0,3,1,12,0,0,0,0,319,0,1
"2487","Séamus Coleman",605,289,228,61,7,0,2,5,54,0,0,0,0,244,0,8
"2488","Sean Goldberg",540,266,253,13,9,0,3,0,4,0,0,0,0,227,0,3
"2489","Sean Longstaff",1056,490,474,13,0,3,3,13,1,2,0,0,0,391,3,14
"2490","Sebastiaan Bornauw",725,366,348,18,11,0,2,2,7,0,0,0,0,297,0,7
"2491","Sebastián Coates",484,248,236,12,11,0,2,0,0,0,0,0,0,214,0,0
"2492","Sebastian Polter",465,116,104,7,0,0,1,2,0,0,0,0,0,63,5,3
"2493","Sebastian Rode",824,507,489,16,14,3,1,5,0,0,0,0,0,422,2,8
"2494","Sebastian Rudy",248,145,122,22,8,0,0,17,0,14,3,7,0,106,1,2
"2495","Sebastian Szymański",71,25,24,1,1,0,0,2,0,0,0,0,0,15,0,2
"2496","Sebastian Walukiewicz",148,76,73,1,1,0,1,0,0,0,0,0,0,67,2,0
"2497","Sebastiano Luperto",1084,505,429,76,32,1,1,1,1,0,0,0,0,427,0,3
"2498","Sébastien Corchia",371,169,129,40,4,0,0,20,29,7,0,5,0,116,0,5
"2499","Sehrou Guirassy",801,219,205,14,1,1,4,5,0,1,0,0,0,145,0,8
"2500","Seko Fofana",1113,666,661,5,5,2,7,11,0,0,0,0,0,599,0,6
"2501","Sékou Gassama",36,9,7,2,0,0,0,0,0,0,0,0,0,7,0,0
"2502","Sekou Koita",20,8,7,1,0,0,0,0,1,0,0,0,0,7,0,0
"2503","Sekou Mara",214,33,32,1,0,1,0,0,0,0,0,0,0,22,0,0
"2504","Selim Amallah",156,32,32,0,0,0,0,0,0,0,0,0,0,27,0,1
"2505","Sepe Elye Wahi",1168,200,175,23,0,0,1,3,1,0,0,0,0,133,2,10
"2506","Sepp van den Berg",322,152,148,4,4,0,3,0,0,0,0,0,0,127,0,0
"2507","Serge Aurier",530,280,209,70,7,1,0,17,63,0,0,0,0,193,1,13
"2508","Serge Gnabry",1248,591,569,16,2,3,2,26,8,2,1,0,1,467,6,16
"2509","Sergej Milinković-Savić",1321,842,825,16,9,12,10,15,7,0,0,0,0,630,1,24
"2510","Sergi Canós",74,38,34,3,1,0,0,3,2,0,0,0,0,22,1,0
"2511","Sergi Darder",1233,645,525,115,46,4,8,80,7,51,24,16,3,462,5,12
"2512","Sergi Gómez",895,451,430,21,19,0,7,2,2,0,0,0,0,390,0,0
"2513","Sergi Guardiola",377,77,69,7,0,0,0,2,0,0,0,0,0,45,1,3
"2514","Sergi Roberto",512,468,413,53,5,0,3,13,48,0,0,0,0,428,2,3
"2515","Sergiño Dest",521,339,288,50,3,0,2,10,47,0,0,0,0,281,1,14
"2516","Sergio Akieme",1260,582,453,122,16,1,13,37,106,0,0,0,0,455,7,9
"2517","Sergio Asenjo",450,181,114,67,18,0,2,0,0,0,0,0,0,121,0,0
"2518","Sergio Busquets",1285,948,909,38,38,8,4,1,0,0,0,0,0,841,1,10
"2519","Sergio Camello",934,182,167,15,1,1,0,1,2,0,0,0,0,148,0,2
"2520","Sergio Canales",856,530,468,54,18,5,5,58,3,30,13,14,0,395,8,17
"2521","Sergio Escudero",709,356,272,82,10,0,4,23,66,6,0,6,0,258,2,9
"2522","Sergio Gómez",299,251,222,29,5,0,2,15,21,3,0,3,0,214,0,6
"2523","Sergio Herrera",900,358,238,119,37,0,2,0,0,0,0,0,0,219,1,0
"2524","Sergio León",625,90,74,14,0,0,4,4,0,0,0,0,0,58,2,2
"2525","Sergio Ramos",1548,1303,1237,64,34,1,19,10,30,0,0,0,0,1230,2,6
"2526","Sergio Reguilón",22,15,13,2,0,1,0,1,2,0,0,0,0,13,0,1
"2527","Sergio Rochet",180,50,29,21,2,0,0,0,0,0,0,0,0,35,0,0
"2528","Serhiy Kryvtsov",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2529","Shandon Baptiste",431,186,182,2,1,2,0,5,1,0,0,0,0,154,2,4
"2530","Shane Duffy",6,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
"2531","Shaquell Moore",22,21,20,1,0,0,0,0,1,0,0,0,0,14,0,0
"2532","Sheraldo Becker",1051,254,244,9,2,1,0,52,3,2,0,0,0,155,1,25
"2533","Shon Weissman",561,64,55,9,0,0,0,2,0,0,0,0,0,49,0,0
"2534","Shūichi Gonda",180,54,36,18,5,0,1,0,0,0,0,0,0,44,0,0
"2535","Sidi Sané",25,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
"2536","Silas Katompa",1043,214,203,11,1,0,0,20,7,0,0,0,0,158,0,9
"2537","Silvan Widmer",1100,591,455,134,9,0,2,18,125,0,0,0,0,423,2,12
"2538","Silvère Ganvoula M'Boussy",153,48,45,3,0,0,0,0,0,0,0,0,0,28,0,0
"2539","Simon Kjær",685,426,421,5,4,0,1,1,1,0,0,0,0,370,0,0
"2540","Simon Mignolet",450,223,149,73,25,0,1,0,0,0,0,0,0,158,1,0
"2541","Simon Terodde",1052,191,166,25,0,1,2,1,2,0,0,0,0,128,0,4
"2542","Simon Zoller",978,215,201,13,0,1,2,14,3,0,0,0,0,129,1,12
"2543","Simone Bastoni",804,406,319,86,17,2,4,77,30,39,21,14,0,248,1,26
"2544","Simone Verdi",451,186,147,36,7,3,6,40,3,19,10,7,0,114,3,14
"2545","Sinaly Diomande",365,288,277,11,8,0,1,0,3,0,0,0,0,252,0,2
"2546","Siriki Dembélé",8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"2547","Sofiane Boufal",852,425,390,33,10,3,6,33,8,14,9,0,0,325,2,8
"2548","Sofiane Diop",518,292,273,19,4,3,4,19,1,14,8,4,0,232,0,6
"2549","Sofyan Amrabat",995,676,635,40,36,0,11,10,4,0,0,0,0,606,1,8
"2550","Solly March",1214,576,500,75,9,0,12,60,35,28,15,6,0,412,1,14
"2551","Son Heung-min",1658,551,436,111,18,0,2,101,6,84,38,27,0,379,4,23
"2552","Son Jun-ho",17,12,12,0,0,0,1,0,0,0,0,0,0,10,0,0
"2553","Sorba Thomas",1,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0
"2554","Sotiris Alexandropoulos",121,42,40,2,1,0,1,0,0,0,0,0,0,33,0,2
"2555","Soualiho Meïté",689,262,255,5,3,1,4,4,2,0,0,0,0,206,2,3
"2556","Souleyman Doumbia",1075,522,425,97,8,0,0,22,89,0,0,0,0,424,0,11
"2557","Souleymane Cissé",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2558","Souleymane Touré",68,38,37,1,1,0,0,0,0,0,0,0,0,32,0,0
"2559","Soumaïla Coulibaly",19,15,15,0,0,0,0,0,0,0,0,0,0,14,0,1
"2560","Soungoutou Magassa",74,27,25,1,1,0,0,0,0,0,0,0,0,22,1,0
"2561","Srđan Babić",1138,579,551,24,21,0,6,2,3,0,0,0,0,503,4,3
"2562","Stanislav Lobotka",1724,1211,1189,22,19,0,8,0,1,0,0,0,0,1126,0,9
"2563","Stanley N'Soki",642,415,396,19,11,1,6,0,8,0,0,0,0,335,0,5
"2564","Stefan Bajcetic",46,26,25,1,1,0,0,0,0,0,0,0,0,22,0,1
"2565","Stefan Bell",893,492,478,9,8,1,4,12,1,0,0,0,0,384,5,4
"2566","Stefan de Vrij",1165,625,610,14,11,1,0,0,1,0,0,0,0,549,1,3
"2567","Stefan Lainer",30,21,19,2,1,0,0,0,1,0,0,0,0,15,0,1
"2568","Stefan Mitrović",1070,371,347,22,22,0,2,0,0,0,0,0,0,306,2,0
"2569","Stefan Ortega",180,52,40,12,2,0,0,0,0,0,0,0,0,50,0,0
"2570","Stefan Posch",724,415,344,69,10,2,3,17,59,0,0,0,0,297,2,21
"2571","Stefan Ristovski",370,194,163,31,11,0,2,13,20,0,0,0,0,159,0,7
"2572","Stefan Savić",1065,659,630,24,18,0,2,1,6,0,0,0,0,576,5,4
"2573","Stefano Sensi",934,769,703,64,37,2,13,35,1,26,8,13,0,660,2,7
"2574","Steffen Tigges",720,148,134,13,0,0,0,7,2,0,0,0,0,82,1,7
"2575","Stephan El Shaarawy",345,191,163,28,1,0,2,5,26,1,1,0,0,155,0,9
"2576","Stéphane Diarra",616,166,163,3,1,0,0,6,2,0,0,0,0,113,0,6
"2577","Stephen Eustáquio",650,340,318,22,11,2,1,17,0,11,6,1,0,259,0,4
"2578","Stephen Welsh",90,58,56,2,2,0,0,0,0,0,0,0,0,55,0,0
"2579","Stephy Mavididi",335,71,67,3,0,0,0,5,3,0,0,0,0,52,1,3
"2580","Stevan Jovetić",398,154,146,8,3,2,1,1,1,0,0,0,0,96,0,6
"2581","Steve Cook",957,459,445,13,11,0,6,1,2,0,0,0,0,369,1,2
"2582","Steve Mandanda",1215,419,295,123,52,0,0,0,0,0,0,0,0,299,1,0
"2583","Steve Mounié",45,16,16,0,0,0,0,1,0,0,0,0,0,7,0,0
"2584","Steven Berghuis",587,368,332,32,10,0,6,27,6,16,11,0,0,276,4,4
"2585","Steven Bergwijn",642,241,233,8,0,3,3,3,4,4,0,0,0,214,0,5
"2586","Steven Davis",249,114,110,3,2,0,3,0,0,1,0,0,0,91,1,0
"2587","Steven Fortes",7,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"2588","Steven Vitória",180,106,105,1,1,0,1,0,0,0,0,0,0,90,0,0
"2589","Stijn Spierings",1350,879,845,30,27,1,20,7,3,0,0,0,0,738,4,16
"2590","Stole Dimitrievski",1170,383,245,136,33,0,3,0,0,0,0,0,0,238,2,0
"2591","Strahinja Pavlović",685,292,282,10,9,0,3,2,1,0,0,0,0,210,0,7
"2592","Stuart Armstrong",690,324,313,11,0,1,3,15,6,0,0,0,0,258,0,9
"2593","Suat Serdar",967,319,304,14,4,1,3,5,0,3,1,2,0,227,1,11
"2594","Suf Podgoreanu",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2595","Suliman Mustapha",68,19,18,1,0,0,0,0,1,0,0,0,0,10,0,1
"2596","Sultan Al-Ghanam",39,17,14,3,0,0,0,3,3,0,0,0,0,13,0,1
"2597","Sun Menachem",59,30,26,4,1,0,0,1,3,0,0,0,0,21,0,1
"2598","Suso",325,154,136,16,2,1,3,11,8,4,1,0,0,123,2,4
"2599","Sven Botman",1057,575,550,20,14,0,12,0,3,0,0,0,0,489,5,1
"2600","Sven Michel",229,96,93,2,0,1,0,12,1,0,0,0,0,53,1,10
"2601","Sven Ulreich",540,247,200,46,7,0,0,0,0,0,0,0,0,212,1,0
"2602","Szymon Żurkowski",32,19,19,0,0,0,0,1,0,0,0,0,0,17,0,1
"2603","Taha Yassine Khenissi",29,6,6,0,0,0,0,0,0,0,0,0,0,2,0,2
"2604","Taïryk Arconte",26,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"2605","Taiwo Awoniyi",512,94,91,3,0,1,0,1,1,0,0,0,0,73,0,2
"2606","Tajon Buchanan",433,145,121,24,0,0,1,9,24,0,0,0,0,107,0,2
"2607","Takefusa Kubo",887,300,278,20,0,0,3,29,1,18,5,7,1,216,2,16
"2608","Takehiro Tomiyasu",455,305,261,43,4,1,2,4,39,0,0,0,0,254,1,5
"2609","Takuma Asano",478,104,100,3,1,1,0,9,1,1,0,0,0,77,1,4
"2610","Takumi Minamino",358,128,113,15,5,0,1,24,1,9,8,1,0,82,0,4
"2611","Tammy Abraham",1041,228,208,18,1,1,1,3,1,0,0,0,0,166,2,2
"2612","Tanguy Coulibaly",24,14,12,2,0,0,1,2,2,0,0,0,0,11,0,1
"2613","Tanguy Ndombele",742,521,511,9,5,3,2,1,1,0,0,0,0,464,1,6
"2614","Tanguy Nianzou",820,448,436,11,9,1,1,0,1,0,0,0,0,406,1,2
"2615","Taras Stepanenko",532,277,264,13,10,0,5,0,3,0,0,0,0,240,0,6
"2616","Tarek Salman",8,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1
"2617","Tariq Lamptey",290,148,120,28,1,0,0,18,27,0,0,0,0,106,0,4
