"","player_name","citizenship"
"344","Ryan Bertrand","Egypt"
"345","Timothy Castagne","Belgium"
"346","James Justin","England"
"347","James Justin","St."
"348","Ricardo Pereira","Portugal"
"349","Ricardo Pereira","Cape"
"350","Wilfred Ndidi","Nigeria"
"351","Boubakary Soumaré","France"
"352","Boubakary Soumaré","Senegal"
"353","Nampalys Mendy","Senegal"
"354","Nampalys Mendy","France"
"355","Youri Tielemans","Belgium"
"356","Youri Tielemans","DR"
"357","Kiernan Dewsbury-Hall","England"
"358","Dennis Praet","Belgium"
"359","Marc Albrighton","England"
"360","Harvey Barnes","England"
"361","Harvey Barnes","Scotland"
"362","James Maddison","England"
"363","Ayoze Pérez","Spain"
"364","Patson Daka","Zambia"
"365","Kelechi Iheanacho","Nigeria"
"366","Jamie Vardy","England"
"367","Jordan Pickford","England"
"368","Asmir Begovic","Bosnia-Herzegovina"
"369","Asmir Begovic","Canada"
"370","Andy Lonergan","England"
"371","Eldin Jakupovic","Switzerland"
"372","Eldin Jakupovic","Bosnia-Herzegovina"
"373","James Tarkowski","England"
"374","James Tarkowski","Poland"
"375","Yerry Mina","Colombia"
"376","Ben Godfrey","England"
"377","Ben Godfrey","Jamaica"
"378","Conor Coady","England"
"379","Mason Holgate","England"
"380","Mason Holgate","Jamaica"
"381","Michael Keane","England"
"382","Michael Keane","Ireland"
"383","Vitaliy Mykolenko","Ukraine"
"384","Rúben Vinagre","Portugal"
"385","Nathan Patterson","Scotland"
"386","Seamus Coleman","Ireland"
"387","Amadou Onana","Belgium"
"388","Amadou Onana","Senegal"
"389","James Garner","England"
"390","Abdoulaye Doucouré","Mali"
"391","Abdoulaye Doucouré","France"
"392","Tom Davies","England"
"393","Idrissa Gueye","Senegal"
"394","Alex Iwobi","Nigeria"
"395","Alex Iwobi","England"
"396","Anthony Gordon","England"
"397","Demarai Gray","England"
"398","Demarai Gray","Jamaica"
"399","Dwight McNeil","England"
"400","Andros Townsend","England"
"401","Dominic Calvert-Lewin","England"
"402","Neal Maupay","France"
"403","Neal Maupay","Argentina"
"404","Salomón Rondón","Venezuela"
"405","José Sá","Portugal"
"406","Matija Sarkic","Montenegro"
"407","Matija Sarkic","England"
"408","Nathan Collins","Ireland"
"409","Max Kilman","England"
"410","Max Kilman","Ukraine"
"411","Yerson Mosquera","Colombia"
"412","Toti","Portugal"
"413","Toti","Guinea-Bissau"
"414","Rayan Aït-Nouri","France"
"415","Rayan Aït-Nouri","Algeria"
"416","Jonny Otto","Spain"
"417","Nélson Semedo","Portugal"
"418","Nélson Semedo","Cape"
"419","Rúben Neves","Portugal"
"420","Matheus Nunes","Portugal"
"421","Matheus Nunes","Brazil"
"422","Boubacar Traoré","Mali"
"423","João Moutinho","Portugal"
"424","Connor Ronan","Ireland"
"425","Connor Ronan","England"
"426","Pedro Neto","Portugal"
"427","Gonçalo Guedes","Portugal"
"428","Chiquinho","Portugal"
"429","Chiquinho","Cape"
"430","Daniel Podence","Portugal"
"431","Adama Traoré","Spain"
"432","Adama Traoré","Mali"
"433","Sasa Kalajdzic","Austria"
"434","Sasa Kalajdzic","Serbia"
"435","Raúl Jiménez","Mexico"
"436","Hee-chan Hwang","Korea,"
"437","Hee-chan Hwang","South"
"438","Diego Costa","Spain"
"439","Diego Costa","Brazil"
"440","Léo Bonatini","Brazil"
"441","Léo Bonatini","Italy"
"442","Gavin Bazunu","Ireland"
"443","Gavin Bazunu","Nigeria"
"444","Alex McCarthy","England"
"445","Willy Caballero","Argentina"
"446","Willy Caballero","Spain"
"447","Mohammed Salisu","Ghana"
"448","Armel Bella-Kotchap","Germany"
"449","Armel Bella-Kotchap","Cameroon"
"450","Duje Caleta-Car","Croatia"
"451","Lyanco","Brazil"
"452","Lyanco","Serbia"
"453","Romain Perraud","France"
"454","Juan Larios","Spain"
"455","Kyle Walker-Peters","England"
"456","Tino Livramento","England"
"457","Tino Livramento","Scotland"
"458","Roméo Lavia","Belgium"
"459","Ibrahima Diallo","France"
"460","Ibrahima Diallo","Senegal"
"461","James Ward-Prowse","England"
"462","Stuart Armstrong","Scotland"
"463","Ainsley Maitland-Niles","England"
"464","Ainsley Maitland-Niles","Jamaica"
"465","Joe Aribo","Nigeria"
"466","Joe Aribo","England"
"467","Mohamed Elyounoussi","Norway"
"468","Moussa Djenepo","Mali"
"469","Samuel Edozie","England"
"470","Samuel Edozie","Nigeria"
"471","Theo Walcott","England"
"472","Ché Adams","Scotland"
"473","Ché Adams","England"
"474","Adam Armstrong","England"
"475","Sékou Mara","France"
"476","Sékou Mara","Senegal"
