"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"1596","Lionel Messi",1740,995,1227,1622.6,14785,5533,564,632,1775.6,298,353,1686.9,78,127,1178.3,15,7.2,9,53,146,88,1,182
"1597","Lisandro Martínez",1326,775,901,1369.2,13811,4761,305,324,1504.1,404,437,1471.8,53,114,764.4,0,0.7,0.4,3,57,4,0,28
"1598","Lloyd Kelly",450,169,222,374.9,3426,1636,48,55,433.8,98,108,450.4,22,53,207.4,2,0.1,0.4,3,8,3,2,2
"1599","Logan Costa",45,18,20,90,381,158,5,5,100,8,8,100,4,5,80,0,0,0,0,1,0,0,1
"1600","Lohann Doucet",64,50,60,415.2,915,231,16,20,NA,28,29,NA,4,8,NA,0,0.2,0,1,3,1,0,4
"1601","Loïc Bade",90,52,59,88.1,1163,396,8,10,80,35,36,97.2,9,13,69.2,1,0.1,0,1,2,0,0,3
"1602","Lois Diony",437,90,115,533.9,1000,187,58,66,NA,15,21,NA,1,2,NA,0,0.4,0.2,5,5,2,1,3
"1603","Loïs Openda",958,131,194,1074,1906,390,57,85,1036.4,53,63,NA,4,16,NA,0,1.2,1,9,8,5,1,13
"1604","Loren Morón",15,3,4,NA,29,0,3,3,NA,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0
"1605","Lorenz Assignon",179,88,106,348.4,1437,389,41,49,325.9,44,50,449.9,3,6,NA,1,0.3,0.3,1,5,0,0,2
"1606","Lorenzo Colombo",472,69,101,871.3,714,135,51,62,NA,7,13,NA,1,3,NA,2,0.4,0,4,2,2,0,5
"1607","Lorenzo De Silvestri",518,184,260,596.7,2890,1461,101,114,780.3,73,104,608,7,31,NA,0,0.1,0,4,18,4,1,15
"1608","Lorenzo Montipò",1350,308,467,980.6,10502,8372,45,46,NA,118,121,1465.1,142,295,723.9,0,0,0,0,19,1,0,0
"1609","Lorenzo Pellegrini",1099,388,527,950.1,6952,2145,174,203,1101.5,135,167,1070.2,61,119,691.3,4,4,2.9,31,32,9,1,37
"1610","Lorenzo Pirola",400,148,190,490.8,2631,862,64,73,535.1,70,82,534.7,12,24,274.4,0,0,0,0,12,1,0,5
"1611","Lorenzo Venuti",351,217,258,488.6,4100,1349,90,95,562.6,102,115,524,25,41,339.3,1,0.1,0.3,3,19,3,0,16
"1612","Lovro Majer",583,281,353,1166.3,4777,1297,127,151,1244,111,129,NA,30,46,NA,2,1.8,1.9,14,30,16,2,31
"1613","Luca Caldirola",894,540,599,965.9,9890,4270,225,229,1076.4,254,277,994.4,53,77,707.8,0,0,0,3,32,2,0,22
"1614","Luca D'Andrea",316,61,84,366.9,896,334,32,42,367.9,24,31,370.2,3,6,NA,1,0.9,0.4,10,6,3,2,8
"1615","Luca de la Torre",54,29,31,469,433,88,17,18,466.7,8,8,NA,2,2,NA,0,0,0.1,0,4,1,0,3
"1616","Luca Kilian",1096,578,673,1099.5,11467,3267,142,162,1091.7,376,396,1222.5,55,99,760.8,0,0.1,0.1,2,36,0,0,28
"1617","Luca Koleosho",25,7,12,105.7,93,21,4,5,100,3,5,116.7,0,0,NA,0,0,0,0,0,0,0,0
"1618","Luca Marrone",135,78,84,186,1371,634,34,35,195.2,39,41,189.2,5,8,126.7,0,0,0,0,0,0,0,4
"1619","Luca Netz",143,40,56,NA,599,189,19,20,NA,18,26,NA,1,6,NA,0,0,0,0,0,0,0,0
"1620","Luca Pellegrini",758,370,549,843.4,6469,2547,184,210,1157.1,133,181,851.4,43,106,419.9,0,0.9,0.9,10,20,6,2,28
"1621","Luca Pfeiffer",407,73,119,676.4,1122,336,41,58,725.4,22,36,NA,6,11,NA,0,0.7,0.8,8,4,3,1,9
"1622","Luca Ranieri",90,6,13,46.2,116,58,2,2,100,3,5,60,1,4,25,0,0,0,1,0,0,0,1
"1623","Luca Waldschmidt",277,56,75,483.2,685,90,35,43,516.3,15,20,NA,2,5,NA,0,0,0.4,0,2,0,0,2
"1624","Luca Zanimacchia",658,188,279,782.3,2812,850,113,143,854.7,55,86,826.8,16,34,500.1,0,0.7,0.8,11,12,9,2,19
"1625","Lucas Alario",259,40,58,681.7,566,116,20,30,NA,13,17,NA,4,4,NA,0,0,0.2,1,2,0,0,3
"1626","Lucas Boyé",730,150,187,NA,2300,421,82,93,NA,44,52,NA,13,16,NA,2,0.6,0.6,7,6,10,4,12
"1627","Lucas Cavallini",19,2,2,100,36,15,1,1,100,1,1,100,0,0,NA,0,0,0.1,0,0,1,1,0
"1628","Lucas Chevalier",810,172,262,587.4,4174,2921,47,47,900,81,82,893.3,44,133,291.1,0,0,0,0,2,0,0,0
"1629","Lucas Digne",811,395,517,770.5,6372,2419,213,235,907.6,142,194,732.1,33,61,NA,0,0.6,0.5,6,21,8,6,24
"1630","Lucas Gourna-Douath",315,118,154,NA,1892,765,66,74,NA,35,48,NA,13,25,NA,0,0.1,0.1,1,13,4,0,15
"1631","Lucas Hernández",661,460,522,837.5,8646,3430,187,199,909.8,210,231,899,55,72,628.8,0,0.2,0,1,45,2,0,25
"1632","Lucas Höler",101,18,31,373.3,221,46,10,17,383.3,6,9,NA,0,0,NA,0,0.1,0.1,1,1,2,0,3
"1633","Lucas Martínez Quarta",1046,640,767,1075.1,14020,5541,178,198,1185.2,348,382,1163.2,108,164,862,0,0.2,0.3,3,55,2,0,42
"1634","Lucas Moura",273,75,115,NA,979,263,52,65,NA,19,32,NA,2,6,NA,0,0.3,0.3,4,6,5,2,5
"1635","Lucas Ocampos",149,54,64,412.2,782,140,33,33,500,16,21,364.2,3,4,NA,0,0,0.1,0,3,1,0,1
"1636","Lucas Olaza",641,295,378,685,5110,1897,124,141,789.3,136,154,788.1,26,60,362.4,0,0.5,0.5,11,14,9,5,19
"1637","Lucas Oliveira Rosa",323,77,115,342.2,1116,403,42,52,381.1,26,39,NA,4,13,NA,0,0,0,0,1,0,0,1
"1638","Lucas Paquetá",865,406,509,946.4,6391,1826,222,254,1044,132,162,989.8,34,54,NA,2,1,1.3,10,47,14,2,50
"1639","Lucas Pérez",593,159,223,960.7,2517,610,89,99,1149.8,45,57,1073.4,17,48,NA,0,0.2,0.7,3,13,7,3,9
"1640","Lucas Perrin",553,238,287,755.8,4815,1799,77,83,864.4,124,144,779.5,33,50,NA,0,0.2,1,2,22,3,1,15
"1641","Lucas Robertone",1016,338,444,1044.2,5843,1798,169,188,1263.4,115,139,1119.7,41,91,627.9,1,1.2,1.4,15,32,13,3,33
"1642","Lucas Taylor",312,88,113,413.8,1422,337,42,48,438.6,38,46,NA,6,12,NA,0,0,0,0,4,0,0,4
"1643","Lucas Torró",1122,390,476,1149.8,6144,1781,203,236,1180.8,154,180,1215.2,21,35,NA,0,0,0,3,29,0,0,30
"1644","Lucas Tousart",1245,239,372,886.5,4007,1487,114,160,984.3,96,130,1007.3,20,43,NA,0,0.2,0.4,6,38,2,1,31
"1645","Lucas Vázquez",554,394,446,990.4,5857,1283,222,237,1045.2,137,159,935.9,20,30,NA,1,1.1,1.4,9,19,18,5,18
"1646","Lucas Veríssimo",3,1,2,50,20,0,0,0,NA,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"1647","Lucien Agoume",106,53,64,243.5,928,217,21,25,224.6,24,27,257.6,6,9,250,0,0.4,0.1,2,6,3,1,6
"1648","Luděk Pernica",495,121,139,515.1,2499,1377,41,46,524.2,57,62,541.7,21,27,NA,0,0,0,0,4,1,0,6
"1649","Ludovic Ajorque",508,126,178,710.1,1850,257,69,93,736.9,42,55,NA,8,11,NA,0,0.6,0.6,6,7,3,0,7
"1650","Ludovic Blas",1138,380,471,1206.7,7874,1660,145,164,1336.2,162,190,1264.1,67,94,1033.9,1,1.6,1.4,16,43,10,3,36
"1651","Ludwig Augustinsson",53,14,24,132.6,241,118,7,9,160,4,8,57.1,2,5,NA,0,0,0,0,0,0,0,0
"1652","Luigi Sepe",1350,373,552,1047.6,9975,7473,66,66,1500,188,189,1494.7,117,291,688.9,0,0,0,0,6,0,0,0
"1653","Luis Alberto",545,329,410,1001.6,5205,1805,182,204,1122.1,107,124,NA,28,56,655,1,1.1,1.3,12,33,15,0,38
"1654","Luis Chávez",180,65,83,153.2,1243,400,33,39,169.7,21,27,144.5,10,16,116.7,0,0.4,0.6,3,14,2,2,7
"1655","Luis Díaz",882,282,355,865.5,4077,946,171,204,904.4,87,105,928.1,14,18,NA,2,1.3,0.9,9,22,12,1,26
"1656","Luis Hernández",1079,383,524,866.4,8014,3177,111,125,1042.3,205,246,979.6,61,138,511.9,0,0.3,0.1,4,27,1,1,22
"1657","Luis Javier Suárez",407,74,110,682.3,1226,308,35,52,NA,30,41,NA,5,5,NA,1,0.6,0.2,6,10,4,0,12
"1658","Luís Maximiano",5,3,4,75,98,90,1,1,100,0,0,NA,2,3,66.7,0,0,0,0,0,0,0,0
"1659","Luis Milla",650,272,347,648.6,4966,1811,130,144,732.1,92,113,670.8,38,67,513.9,0,0.4,0.5,13,42,0,0,28
"1660","Luis Muriel",518,124,200,565.4,2102,631,67,91,706.3,35,53,606.6,16,37,385,2,2.1,1.7,13,9,15,2,20
"1661","Luís Neto",39,34,36,94.4,674,258,8,8,100,24,24,100,2,3,66.7,0,0,0,0,0,0,0,1
"1662","Luis Pérez",387,131,168,394.3,1805,638,81,88,464.7,39,49,401.9,5,12,258.3,0,0.1,0.1,3,6,3,3,5
"1663","Luis Sinisterra",453,162,195,742.7,2297,597,82,95,785.9,53,59,796.5,8,10,NA,0,0.2,0.4,4,11,8,1,21
"1664","Luis Suárez",81,12,22,112.5,127,38,9,12,170,1,3,100,0,3,0,0,0,0,0,1,0,0,1
"1665","Luiz Felipe",414,194,218,NA,3511,1418,84,90,NA,84,88,NA,24,35,NA,0,0.1,0.1,1,11,0,0,9
"1666","Luiz Henrique",741,142,193,855.1,1896,318,94,112,999.1,38,50,790.7,4,10,NA,1,0.9,0.4,5,4,3,2,5
"1667","Luka Ivanušec",524,175,215,493.6,3002,642,82,97,507.7,66,77,524.2,18,24,445.7,0,0.2,0,4,13,3,1,9
"1668","Luka Jović",749,104,139,1005.3,1739,266,51,60,NA,40,53,NA,10,15,NA,0,0.2,0.3,9,5,3,0,7
"1669","Luka Lochoshvili",964,348,436,963.2,6373,2447,135,150,1087.7,189,211,1063.3,23,63,NA,1,1,0.1,4,28,3,1,25
"1670","Luka Milivojević",279,127,155,714.2,2178,654,58,63,801.4,56,68,NA,10,16,NA,0,0,0,1,11,1,0,8
"1671","Luka Modrić",1359,1040,1191,1662.5,15999,5035,572,615,1767.9,326,358,1722.7,92,142,1290.9,2,3.1,3.2,26,126,19,3,93
"1672","Luka Romero",119,55,61,184.8,659,120,45,48,NA,8,9,NA,1,2,NA,0,0.1,0,2,2,0,0,1
"1673","Luka Sučić",398,151,199,367.3,2174,612,73,86,423.5,55,71,379.8,9,19,NA,0,0.5,0.6,7,13,6,1,18
"1674","Lukáš Hejda",512,73,84,504.1,1653,823,18,21,557.1,37,40,523.3,15,18,505,0,0,0.2,0,8,0,0,0
"1675","Lukáš Hrádecký",1799,514,682,1517.1,13159,9684,114,116,1977.8,264,266,1983.2,134,297,924.4,0,0,0,0,8,1,0,0
"1676","Lukáš Kalvach",492,171,238,434.7,3521,1349,60,75,478.2,74,89,492.3,30,56,333.8,0,0.6,0.6,8,18,4,1,15
"1677","Lukas Klostermann",111,50,63,166.7,904,224,26,29,176.6,20,26,175,4,8,NA,0,0,0,0,5,0,0,3
"1678","Lukas Kübler",422,163,242,336.7,2878,768,67,85,377.2,65,92,349,22,46,238.4,0,0,0.1,1,17,1,0,13
"1679","Lukas Lerager",450,127,164,434.7,1999,528,72,87,472.4,36,47,402.8,11,15,NA,0,0.2,0.1,4,12,2,0,10
"1680","Lukas Nmecha",817,119,181,747.9,1750,293,62,82,872.8,37,56,NA,9,11,NA,0,0.2,0.1,4,17,4,0,9
"1681","Lukas Petkov",146,18,34,NA,295,96,9,16,NA,5,9,NA,3,6,NA,0,0,0.1,0,3,0,0,2
"1682","Łukasz Fabiański",1243,292,408,1070.8,8462,6416,70,70,NA,114,115,1491.7,107,220,716.8,0,0,0,0,5,0,0,0
"1683","Łukasz Poręba",202,80,97,346.6,1223,388,38,44,NA,30,36,NA,6,10,NA,1,0.5,0.3,3,8,4,1,11
"1684","Łukasz Skorupski",1350,423,544,1174,10897,7509,78,79,1450,190,194,1462.2,130,244,830,0,0,0,0,0,0,0,0
"1685","Luke Ayling",159,68,89,NA,1249,540,33,36,NA,27,32,NA,8,15,NA,1,0.1,0.3,1,6,6,3,8
"1686","Luke Harris",7,6,7,175,83,17,4,4,200,2,3,100,0,0,NA,0,0,0,0,0,0,0,0
"1687","Luke Shaw",1027,755,904,1086,11421,3980,440,482,1182.7,254,300,1099.9,45,73,NA,2,2,1.6,18,70,20,9,56
"1688","Luke Thomas",273,152,186,345.2,2363,1047,84,96,361.2,59,70,353,9,14,NA,0,0,0.1,0,9,1,0,16
"1689","Lyanco",236,93,129,NA,1670,663,41,47,NA,42,61,NA,7,15,NA,0,0,0,0,6,0,0,4
"1690","Lynnt Audoor",11,3,6,50,42,13,1,3,33.3,2,2,100,0,0,NA,0,0,0,0,0,0,0,0
"1691","M'Bala Nzola",1350,228,286,1194.9,2884,463,156,184,1252.5,55,67,NA,5,6,NA,0,0.8,1,13,18,9,1,20
"1692","M'Baye Niang",555,80,125,674,1237,213,43,57,NA,29,49,653.2,4,7,NA,0,0,0.4,0,2,3,1,5
"1693","Mads Bech Sørensen",20,7,11,216.7,142,49,3,3,NA,3,4,250,1,4,NA,0,0,0,0,2,0,0,1
"1694","Mads Pedersen",694,171,262,814.4,2790,896,88,110,NA,61,99,NA,15,32,NA,0,0.3,0.3,6,7,8,4,11
"1695","Mads Roerslev",433,94,143,346.2,1508,572,50,65,465.4,38,47,NA,5,21,NA,0,0.5,0.3,4,6,5,3,10
"1696","Maghnes Akliouche",248,79,106,NA,1025,318,50,61,NA,21,29,NA,2,5,NA,0,0.2,0.1,5,7,4,0,11
"1697","Mahdi Camara",582,222,258,841.5,3278,789,109,116,934.6,88,104,820,7,10,NA,0,0.1,0,3,21,1,0,12
"1698","Mahir Madatov",21,6,7,85.7,65,12,4,5,80,2,2,100,0,0,NA,0,0.2,0,1,0,0,0,0
"1699","Mahmoud Dahoud",182,92,121,232.4,1687,549,39,46,265,42,44,288.1,10,21,108,0,0.1,0.1,1,10,0,0,10
"1700","Majid Hosseini",270,85,105,229.3,1739,509,29,34,254.1,41,46,250,13,20,160.2,0,0,0,0,3,0,0,3
"1701","Makoto Hasebe",464,229,276,620.3,4552,1488,70,71,NA,130,147,622.1,28,54,NA,0,0,0,0,8,1,0,12
"1702","Malang Sarr",243,123,141,509.3,2298,719,46,50,565.5,59,64,538.7,15,19,520,0,0,0,0,10,1,0,12
"1703","Malcolm Ebiowei",34,5,10,150,98,16,2,4,NA,2,2,NA,1,2,NA,0,0,0,0,0,0,0,0
"1704","Malcom Abdulai Ares Djalo",5,7,7,100,92,20,5,5,100,2,2,100,0,0,NA,0,0,0,0,0,0,0,1
"1705","Malick Thiaw",393,196,227,412.5,4146,1137,48,57,NA,127,138,NA,21,31,NA,0,0,0,1,12,0,0,8
"1706","Malik Tillman",244,40,57,318.3,508,85,27,33,401.3,12,16,NA,0,3,NA,0,0,0,1,1,0,0,1
"1707","Malo Gusto",1214,877,1071,1139.6,14593,4816,434,488,1236.5,359,424,1158.2,65,106,865.5,1,2.2,3.1,18,72,28,23,44
"1708","Mama Samba Baldé",1206,164,239,1045.9,2543,513,88,126,1057.7,59,76,1185.2,9,15,NA,3,1.1,0.3,12,14,4,0,14
"1709","Mamadou Mbaye",209,53,72,222.6,1080,389,20,22,287.5,26,32,253.7,7,15,140,0,0,0,0,6,1,0,5
"1710","Mamadou Sakho",392,235,273,616.6,4189,1452,86,94,645.7,130,144,643.7,13,26,NA,0,0,0,0,10,0,0,8
"1711","Mamady Diarra",66,8,9,185.7,103,26,4,5,NA,3,3,200,0,0,NA,0,0,0,0,0,0,0,0
"1712","Mamoudou Karamoko",45,2,3,66.7,31,9,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"1713","Manolo Gabbiadini",573,116,186,840.5,1615,456,72,95,968.5,30,49,850.7,6,20,NA,1,1.1,1.3,5,10,7,0,13
"1714","Manor Solomon",25,2,3,66.7,44,33,1,1,100,0,1,0,1,1,100,0,0,0,0,1,0,0,1
"1715","Manu Morlanes",145,32,42,253.4,531,121,16,18,280,13,15,275,3,6,NA,0,0,0,0,4,0,0,3
"1716","Manu Trigueros",250,122,134,563.4,1874,396,66,69,582.5,48,54,550.7,6,8,NA,0,0.1,0,1,11,3,0,10
"1717","Manu Vallejo",206,68,89,525.4,1029,232,41,50,545.6,22,29,483.3,4,5,NA,1,0.3,0.3,3,8,3,1,5
"1718","Manuel Akanji",1196,964,1034,1300.1,17638,5097,383,405,1311.9,491,513,1334.6,80,100,1062.8,1,0.3,0.2,6,75,0,0,41
"1719","Manuel De Luca",33,5,7,71.4,66,1,3,4,75,2,3,66.7,0,0,NA,0,0,0,0,0,0,0,0
"1720","Manuel Gulde",80,38,46,158.2,718,151,13,14,NA,21,22,200,4,9,NA,0,0,0,0,2,0,0,3
"1721","Manuel Lanzini",126,68,83,415,1099,257,31,38,397.3,29,32,458.3,5,8,250,0,0,0.1,0,6,2,0,9
"1722","Manuel Lazzari",992,505,573,1155.6,7112,2528,295,317,1219.7,175,195,1178.1,17,25,NA,0,0.2,0.3,3,20,6,3,13
"1723","Manuel Locatelli",1191,578,687,1341.6,10530,3391,258,286,1443.7,227,256,1422.7,77,107,1006.8,0,0.9,0.3,8,61,9,0,59
"1724","Manuel Neuer",1530,632,722,1505.5,15204,10269,130,130,1700,324,332,1655.9,177,258,1223.7,0,0,0,0,1,0,0,1
"1725","Manuel Riemann",1350,477,785,912,18647,15969,40,41,NA,147,152,1457,290,584,751.4,0,0,0.2,1,58,5,1,13
"1726","Manuel Sánchez",470,177,231,752.8,2419,886,116,132,909.6,44,61,NA,11,23,NA,1,0.3,0.6,3,16,6,4,12
"1727","Manuel Ugarte Ribeiro",467,201,238,501.6,3424,621,80,95,498.5,101,108,560.2,12,18,NA,0,0,0,1,6,0,0,9
"1728","Maranhão",370,30,45,NA,432,113,15,22,NA,12,17,NA,1,2,NA,0,0.4,0.1,3,4,1,0,4
"1729","Marash Kumbulla",44,20,20,300,402,102,6,6,NA,13,13,300,1,1,NA,0,0,0,0,0,0,0,0
"1730","Marc-André ter Stegen",1710,590,678,1676.5,14824,10184,121,122,1892.9,284,290,1866.3,183,264,1388.1,0,0.1,0,1,4,0,0,0
"1731","Marc-Oliver Kempf",1294,487,629,1173.3,9289,4011,182,209,1312.9,246,290,1284.1,52,100,821,0,0.1,0.2,2,34,4,0,33
"1732","Marc Albrighton",31,13,20,211.1,150,40,10,15,216.7,3,3,NA,0,0,NA,0,0,0,0,1,0,0,1
"1733","Marc Casado",24,26,29,89.7,425,83,12,14,85.7,12,12,100,1,1,100,0,0,0,0,2,0,0,1
"1734","Marc Cucurella",1049,721,864,1446,11551,3597,369,396,1591.3,287,331,1510.2,45,84,NA,2,0.4,0.4,8,52,8,6,30
"1735","Marc Guéhi",1260,807,908,1220.4,15999,5729,263,285,1280.1,463,490,1308.3,78,125,790.5,0,0.1,0,2,48,0,0,38
"1736","Marc Roca",1031,488,617,1090,8139,3392,245,281,1211.3,182,217,1149.4,46,81,801.4,1,0.2,0.1,11,86,8,0,68
"1737","Marcão",583,325,375,600.2,5605,2271,141,150,637.1,168,183,647,15,35,NA,0,0,0,0,23,0,0,16
"1738","Marcel Halstenberg",755,505,596,1240,8709,2728,226,242,NA,239,268,1355.3,32,54,NA,1,0.6,0.5,5,27,10,3,28
"1739","Marcel Sabitzer",907,528,611,1635.9,8116,2127,281,312,1774.3,205,231,1713.1,25,40,NA,1,0.3,0.3,9,43,7,0,46
"1740","Marcel Wenig",4,9,10,90,120,11,7,7,100,1,2,50,1,1,100,0,0,0,0,0,0,0,0
"1741","Marcelo Brozović",974,691,794,1206,12132,3173,317,349,1264.2,294,323,NA,67,92,895.9,0,0.4,0.3,6,48,4,0,42
"1742","Marcin Bułka",180,54,67,163.6,1465,1156,9,9,200,32,33,193.8,13,25,114.1,0,0,0,0,0,0,0,0
"1743","Marcin Kamiński",90,13,17,76.5,250,121,6,6,100,3,4,75,3,6,50,0,0,0,0,0,0,0,0
"1744","Marcin Listkowski",77,16,24,NA,204,71,14,16,NA,0,3,NA,1,4,NA,0,0,0,0,0,0,0,0
"1745","Marco Asensio",571,288,339,NA,4141,856,161,178,NA,88,102,NA,19,31,NA,3,3.1,2.3,17,22,9,4,23
"1746","Marco Benassi",93,91,105,175.7,2107,426,32,32,200,33,41,167,26,31,158.9,0,0.1,0.1,1,11,1,0,4
"1747","Marco Bizot",1260,266,370,1010.7,8048,5720,32,32,NA,137,140,1360,97,197,702.5,0,0,0,0,6,1,0,0
"1748","Marco Carnesecchi",540,109,173,380.6,3426,2558,15,15,600,50,51,585.7,41,103,238.7,0,0,0,0,4,0,0,0
"1749","Marco D'Alessandro",265,69,96,504.8,1041,225,43,48,639.5,21,29,NA,3,7,NA,0,0.2,0.1,3,4,0,0,3
"1750","Marco Friedl",1154,632,779,1115.8,13873,5088,188,201,1322.4,308,356,1150.2,124,198,872.3,0,0.3,1,7,57,13,5,47
"1751","Marco Pašalić",11,6,7,85.7,69,32,4,4,100,2,3,66.7,0,0,NA,0,0,0,0,2,0,0,1
"1752","Marco Reus",811,224,292,814.9,2914,728,128,154,805.7,71,81,955.3,5,17,NA,3,1.4,1.3,11,17,3,0,12
"1753","Marco Richter",527,93,149,740.3,1441,431,44,55,958.3,33,51,755,8,20,NA,2,0.4,0.4,3,6,4,1,9
"1754","Marco Silvestri",1350,325,422,1162.4,9115,6723,55,55,1500,167,167,1500,101,198,752.9,0,0,0,0,4,0,0,0
"1755","Marco Sportiello",533,167,213,475,4647,3179,30,30,600,89,91,583.9,48,92,331.2,0,0,0,0,0,0,0,1
"1756","Marco Verratti",1494,1632,1744,1778.7,24897,8359,854,894,1814.9,576,601,1818.9,113,133,1644.3,1,0.8,2.2,10,148,33,0,127
"1757","Marcos Acuña",880,391,551,1120.7,7632,3052,180,208,1318.2,138,180,1248.7,66,135,NA,1,1.6,1.6,19,18,16,9,26
"1758","Marcos Alonso",853,736,811,1075.8,13378,4767,296,316,1098.4,360,380,1119.1,66,88,878.5,0,0.9,1.1,9,63,8,4,39
"1759","Marcos Antônio",267,148,165,724.3,2126,572,89,96,740.5,41,47,726.5,11,13,NA,0,0,0,0,15,1,0,6
"1760","Marcos Llorente",874,348,423,910.8,4939,1334,191,204,1024.5,112,134,952.5,19,37,481.7,0,1.5,1.1,11,21,7,2,22
"1761","Marcos Senesi",939,360,452,955.6,7387,3582,107,123,1025.2,203,235,1024.5,44,77,567.5,0,0.2,0.1,3,34,2,1,12
"1762","Marcus Coco",219,69,97,NA,1065,440,38,47,NA,20,27,NA,7,17,NA,0,0.3,0.2,3,5,2,2,8
"1763","Marcus Edwards",352,85,113,435.9,1184,370,50,57,530.6,23,34,394.1,5,10,NA,2,0.6,0.5,6,10,4,0,12
"1764","Marcus Ingvartsen",457,71,113,608.2,981,174,42,64,635.1,21,29,NA,4,7,NA,0,0.1,0,2,4,2,0,6
"1765","Marcus Rashford",1234,275,375,1243.4,4067,789,174,213,1362.7,70,91,NA,20,33,NA,2,2,1.2,10,12,16,1,24
"1766","Marcus Tavernier",1283,346,506,1037.4,5560,1449,197,237,1262.5,103,147,1024.5,33,83,NA,4,2.1,1.1,15,19,8,3,19
"1767","Marcus Thuram",1379,187,259,NA,2454,471,111,142,NA,58,73,NA,3,7,NA,3,1.9,0.6,14,5,10,0,18
"1768","Marek Rodák",180,29,61,95.8,1170,1037,3,3,200,8,9,NA,17,48,70,0,0,0,0,0,0,0,0
"1769","Marián Tvrdoň",90,31,50,62,1282,1109,0,0,NA,14,15,93.3,17,35,48.6,0,0,0,0,2,0,0,0
"1770","Mariano",30,6,11,NA,135,48,2,5,NA,3,4,NA,1,2,NA,0,0.4,0.6,1,1,0,0,3
"1771","Marin Jakoliš",28,4,7,57.1,63,31,1,1,100,3,5,60,0,1,0,0,0,0.2,0,1,0,0,1
"1772","Marin Pongračić",790,296,361,736.4,6388,2314,73,94,714.2,171,195,784.4,47,63,687.6,0,0.1,0,2,16,2,0,14
"1773","Mario Gila",90,56,61,365.2,953,330,25,27,NA,24,26,378,6,7,NA,0,0,0,0,1,0,0,2
"1774","Mario Götze",1613,706,943,1559.9,10040,2874,411,482,1788,220,289,1574.3,35,80,NA,3,3.9,4,26,58,23,6,59
"1775","Mario Hermoso",278,167,188,515.9,3252,1319,52,56,549.7,98,107,546.1,16,23,404.7,0,0.1,0.2,1,17,2,0,14
"1776","Mario Lemina",721,516,576,970.9,8758,2468,225,238,1043.6,231,241,1029.5,40,71,NA,0,0.1,0,3,40,3,0,31
"1777","Mario Pašalić",922,275,339,1323.3,4430,1269,136,161,1360.9,101,114,1451.5,26,42,NA,2,1.7,0.7,10,28,9,1,34
"1778","Mário Rui",1152,823,1003,1219.6,15265,5014,389,420,1386.2,309,366,1247.5,113,178,877.1,6,3,2.9,35,67,32,11,67
"1779","Mario Suárez",6,2,3,66.7,28,6,1,1,100,1,2,50,0,0,NA,0,0,0,0,0,0,0,0
"1780","Marius Bülter",1173,225,367,888,3420,1115,137,161,1289.4,59,104,835.2,17,41,NA,0,1.9,1.6,16,21,18,8,29
"1781","Marius Wolf",530,228,310,NA,3742,1378,118,134,NA,86,106,NA,20,43,NA,1,1,1.1,9,17,10,5,20
"1782","Mark Flekken",1350,457,624,1100.2,14926,11364,44,45,NA,221,223,1490.6,192,354,815.6,0,0.1,0.1,2,26,3,0,0
"1783","Mark Travers",675,164,233,566.8,5481,4138,41,41,800,57,58,787.5,65,133,398.8,0,0,0,0,3,0,0,0
"1784","Mark Uth",46,11,15,205,181,42,5,7,175,5,5,300,1,3,NA,0,0,0,0,2,0,0,1
"1785","Marko Arnautović",1099,234,336,924.9,3361,613,133,175,1002.3,75,97,995,11,20,NA,0,1.8,1.3,19,13,11,1,21
"1786","Marko Bulat",29,19,23,248,338,49,9,10,275,6,8,NA,3,4,NA,0,0,0,0,1,0,0,1
"1787","Marko Dmitrović",405,121,173,356.6,3332,2341,27,27,NA,58,58,500,36,87,223.7,0,0,0,0,2,0,0,0
"1788","Marko Grujić",111,53,61,269.9,924,258,21,22,280,25,28,277.8,4,7,160,0,0,0,0,3,0,0,3
"1789","Marko Lazetić",9,1,1,100,18,0,0,0,NA,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"1790","Marko Livaja",79,11,21,100,134,33,6,11,103.3,4,6,160,0,0,NA,0,0,0,0,0,2,0,2
"1791","Marko Milovanović",15,4,9,50,53,7,1,2,NA,2,4,NA,0,0,NA,0,0,0,0,0,0,0,0
"1792","Marko Pjaca",348,116,151,523.1,1932,414,55,69,559.7,44,56,NA,12,18,406.7,0,0.4,0.3,8,11,5,3,5
"1793","Marko Stamenic",269,76,100,222.5,1205,294,38,46,244.4,31,36,244.4,5,10,150,0,0,0,0,6,0,0,5
"1794","Marlon",824,509,547,1021.8,8918,3187,213,229,1023.1,261,273,1045.5,31,38,NA,0,0.3,0.4,1,37,3,2,19
"1795","Marlos Moreno",4,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
