"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"360","Billy Gilmour",16,32,36,NA,544,79,14,16,NA,16,17,NA,2,2,NA,0,0,0,0,0,0,0,0
"361","Bingourou Kamara",408,87,131,330.4,2374,1898,16,17,475,43,44,490.9,28,69,205,0,0,0,0,2,0,0,0
"362","Birama Touré",1333,542,644,1253.4,10615,2812,203,234,1298.7,215,235,1360.7,100,130,1142.7,0,0.1,0.1,1,42,2,0,39
"363","Birger Meling",279,170,201,NA,2951,916,75,88,NA,80,92,NA,11,14,NA,0,0,0.2,0,13,5,1,17
"364","Bjorn Meijer",392,155,210,442,2539,819,73,88,501.4,67,80,507.8,11,30,NA,1,0,0.2,1,11,1,1,12
"365","Blanco",158,57,61,283.5,818,137,31,33,283.8,22,24,280,1,1,NA,0,0,0,1,3,1,0,1
"366","Bobby Clark",8,1,1,100,29,17,0,0,NA,1,1,100,0,0,NA,0,0,0.1,0,0,1,0,1
"367","Bobby Reid",1211,367,516,975,5804,1995,187,226,1134.5,140,187,996.2,22,55,NA,1,0.5,0.3,9,20,12,5,21
"368","Bohdan Mykhaylychenko",360,166,204,324.2,2541,709,104,113,366.6,52,67,316,8,16,195,2,0.3,0.3,2,5,2,2,2
"369","Bonke Innocent",613,258,284,1095.4,4186,867,121,132,NA,107,115,1020.4,17,21,NA,1,0.2,0.1,4,13,1,0,7
"370","Borja Iglesias",957,156,212,975.6,1838,271,102,128,1021.1,29,43,NA,7,8,NA,2,1.9,0.9,9,4,5,0,13
"371","Borja Mayoral",1105,209,286,1023.6,2849,575,127,157,1086.4,51,69,1116.8,13,19,NA,0,1.1,1.2,6,13,8,1,13
"372","Borna Barišić",465,221,268,506.8,3957,1368,108,121,543.1,89,101,535.2,24,41,NA,0,0.2,0.4,5,19,4,4,12
"373","Borna Sosa",1057,539,735,1000.6,8823,3949,283,313,1263.6,195,269,982.2,48,119,536.4,5,3.4,4.9,30,39,31,19,47
"374","Boualem Khoukhi",270,169,197,256.2,3293,1402,59,66,269.2,82,91,271.4,25,35,209.1,0,0,0.3,0,2,0,0,4
"375","Boubacar Kamara",669,330,395,747,5559,1534,166,184,808.5,122,140,785.3,33,45,NA,0,0,0.1,2,29,1,0,24
"376","Boubacar Traoré",384,97,125,633.5,1641,548,44,53,NA,47,54,705.9,5,10,NA,1,0.2,0,1,16,1,0,6
"377","Boubakary Soumaré",668,342,375,1011.8,5121,1354,191,202,1048.1,120,131,1016.3,18,21,NA,0,0.1,0.1,2,29,1,0,23
"378","Boulaye Dia",1203,193,257,1284.4,2896,490,106,132,1274.8,66,79,1397.1,10,15,NA,2,1.1,0.4,14,9,10,2,12
"379","Bradley Barcola",81,21,29,527.8,350,121,13,17,558.3,5,7,NA,2,3,NA,0,0.1,0,1,4,1,0,5
"380","Brahim Díaz",810,235,303,1271.9,3514,1045,124,147,1374.8,83,99,1329.3,15,31,NA,1,2,1.4,19,38,20,2,37
"381","Braian Cufré",194,67,79,252.4,1142,389,34,36,287.5,23,26,NA,7,11,191.7,0,0,0,1,4,1,0,10
"382","Brais Méndez",1121,525,660,1104.5,8716,2105,278,310,1242.2,155,194,1118.6,67,105,894.5,2,1.5,2.3,18,53,17,3,39
"383","Bram Nuytinck",385,113,139,464.3,2516,1038,24,27,557.8,67,75,499.5,20,32,NA,0,0,0,0,4,1,0,4
"384","Branco van den Boomen",1327,722,945,1145.7,16913,6009,223,257,1295.5,302,356,1280,183,295,928.1,4,3.9,3.4,45,131,24,6,104
"385","Brandon Aguilera",45,13,19,135.6,173,49,6,8,166.7,6,6,NA,0,1,NA,0,0,0,0,1,0,0,1
"386","Brandon Baiye",50,25,30,550,384,120,13,14,NA,9,12,NA,2,2,NA,0,0.1,0.1,1,1,0,0,1
"387","Brandon Mechele",540,315,359,525.3,6985,2093,65,75,507.7,198,209,565.1,49,72,431.7,0,0,0,0,12,0,0,10
"388","Brandon Soppy",613,213,279,802.4,3138,1350,119,132,948.2,77,105,NA,10,24,NA,3,1.4,1,10,21,8,2,26
