"","Player","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs_Dribbles","Att_Vs_Dribbles","Tkl_percent_Vs_Dribbles","Past_Vs_Dribbles","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"722","Eduard Sobol",109,3,1,3,0,0,2,3,NA,1,1,0,1,2,5,3,0
"723","Eduardo Camavinga",813,34,24,15,14,5,6,14,NA,8,15,2,13,6,40,9,0
"724","Eduardo Simões",88,5,3,3,2,0,1,3,NA,2,3,2,1,0,5,3,0
"725","Ehsan Hajsafi",237,6,3,2,3,1,3,5,233.3,2,3,0,3,2,8,2,0
"726","El Bilal Touré",659,1,1,1,0,0,0,2,NA,2,4,1,3,0,1,14,0
"727","El Chadaille Bitshiabu",8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"728","Elba Rashani",766,13,6,4,6,3,3,6,NA,3,8,2,6,10,23,8,0
"729","Eldor Shomurodov",111,1,0,1,0,0,0,1,NA,1,1,0,1,1,2,0,0
"730","Elias Jelert",192,4,2,2,2,0,1,4,NA,3,0,0,0,1,5,1,0
"731","Elif Elmas",559,14,4,3,8,3,8,10,NA,2,5,0,5,4,18,3,0
"732","Eliot Matazo",355,3,0,1,2,0,1,4,NA,3,4,1,3,2,5,3,0
"733","Elliot Anderson",103,5,3,4,0,1,2,4,NA,2,4,1,3,2,7,0,0
"734","Ellyes Skhiri",1530,50,24,18,28,4,16,34,NA,18,21,6,15,28,78,20,0
"735","Elseid Hysaj",269,8,4,4,3,1,2,3,NA,1,5,3,2,2,10,5,0
"736","Elvis Rexhbeçaj",1219,26,17,7,12,7,12,29,NA,17,17,6,11,7,33,19,0
"737","Emanuel Aiwum",877,38,23,22,14,2,19,26,941.7,7,14,9,5,19,57,32,1
"738","Emanuel Vignato",197,3,3,1,2,0,2,4,NA,2,2,0,2,2,5,0,0
"739","Emanuele Valeri",979,19,10,11,7,1,10,21,NA,11,4,2,2,11,30,16,0
"740","Emerson",1283,35,19,22,8,5,14,24,NA,10,13,3,10,11,46,38,0
"741","Emerson Palmieri",224,3,1,0,3,0,1,1,NA,0,2,0,2,2,5,2,0
"742","Emi Buendía",726,23,9,9,8,6,7,17,NA,10,7,0,7,5,28,5,0
"743","Emil Audero",1260,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,5,0
"744","Emil Bohinen",126,2,1,1,0,1,2,2,NA,0,1,0,1,1,3,0,0
"745","Emil Ceide",243,3,1,3,0,0,3,4,NA,1,1,0,1,1,4,0,0
"746","Emil Forsberg",860,14,9,3,5,6,6,15,NA,9,12,0,12,1,15,4,0
"747","Emil Holm",942,17,12,8,5,4,12,21,NA,9,11,3,8,6,23,27,0
"748","Emil Krafth",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"749","Emile Smith Rowe",51,1,1,1,0,0,1,2,NA,1,0,0,0,0,1,2,0
"750","Emiliano Marcondes",9,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"751","Emiliano Martínez",1564,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,4,1
"752","Emirhan İlkhan",87,1,1,0,1,0,1,1,NA,0,3,1,2,2,3,2,0
"753","Emmanuel Agbadou",969,29,18,20,9,0,16,22,NA,6,13,6,7,13,42,54,1
"754","Emmanuel Dennis",345,4,2,1,2,1,1,1,NA,0,5,0,5,0,4,2,0
"755","Emmanuel Ekong",14,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"756","Emmanuel Gyasi",1034,9,4,3,6,0,3,10,NA,7,12,3,9,3,12,8,0
"757","Emre Can",784,27,18,10,14,3,8,15,NA,7,17,2,15,13,40,14,1
"758","Enes Ünal",1212,12,6,4,7,1,4,10,NA,6,6,1,5,0,12,19,0
"759","Enner Valencia",255,2,0,0,2,0,0,1,NA,1,3,0,3,1,3,2,0
"760","Enock Mwepu",213,10,5,1,6,3,3,4,NA,1,3,1,2,1,11,1,0
"761","Enrique Valiente",458,5,3,4,1,0,4,4,NA,0,7,3,4,2,7,22,0
"762","Enzo Barrenechea",3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"763","Enzo Ebosse",677,6,2,4,2,0,3,6,NA,3,17,3,14,8,14,19,0
"764","Enzo Fernández",571,23,9,10,9,4,10,16,NA,6,5,1,4,11,34,4,0
"765","Enzo Le Fée",1331,48,28,21,19,8,18,51,414,33,22,2,20,14,62,18,1
"766","Enzo Millot",354,10,7,5,3,2,4,7,NA,3,13,2,11,9,19,4,0
"767","Enzo Roco",795,11,6,9,2,0,6,10,NA,4,7,5,2,6,17,22,1
"768","Enzo Tchato",692,14,9,5,8,1,6,12,NA,6,8,0,8,4,18,24,0
"769","Eray Cömert",872,12,7,9,3,0,8,13,NA,5,13,6,7,12,24,29,1
"770","Eren Dinkçi",52,2,2,2,0,0,1,1,NA,0,1,0,1,0,2,0,0
"771","Erhan Mašović",724,16,12,7,9,0,9,15,NA,6,14,9,5,5,21,23,0
"772","Eric Bailly",513,12,10,4,7,1,7,8,NA,1,8,7,1,20,32,14,0
"773","Eric Dier",1833,19,12,11,7,1,8,14,NA,6,15,10,5,27,46,67,3
"774","Eric García",833,16,9,11,3,2,6,9,NA,3,13,6,7,13,29,14,1
"775","Eric Martel",767,19,10,8,7,4,13,25,NA,12,5,1,4,12,31,14,0
"776","Eric Maxim Choupo-Moting",908,12,7,3,8,1,2,3,NA,1,9,0,9,1,13,5,0
"777","Erick Gutiérrez",49,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,1,0
"778","Erik Botheim",315,4,3,0,2,2,2,2,NA,0,1,0,1,0,4,1,0
"779","Erik Jirka",266,2,0,2,0,0,1,3,NA,2,2,1,1,7,9,5,0
"780","Érik Lamela",1234,23,13,8,7,8,7,18,NA,11,17,1,16,4,27,0,0
"781","Erik Palmer-Brown",1247,21,13,16,5,0,9,13,NA,4,22,10,12,12,33,63,0
"782","Erling Haaland",1285,2,1,0,2,0,1,2,NA,1,4,0,4,2,4,4,0
"783","Ermedin Demirović",1142,14,5,5,4,5,5,8,NA,3,17,2,15,10,24,18,0
"784","Esteban Saveljich",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"785","Ethan Ampadu",998,21,15,11,8,2,5,13,NA,8,19,10,9,11,32,26,0
"786","Ethan Nwaneri",1,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"787","Ethan Pinnock",630,4,3,2,2,0,1,2,NA,1,7,6,1,7,11,56,1
"788","Étienne Capoue",836,15,8,5,9,1,8,9,NA,1,7,2,5,10,25,14,0
"789","Evanilson",403,2,1,0,1,1,1,4,NA,3,3,1,2,1,3,4,0
"790","Evann Guessand",624,10,8,4,4,2,3,7,NA,4,4,1,3,0,10,1,0
"791","Exequiel Palacios",675,28,12,8,18,2,16,22,NA,6,11,1,10,14,42,12,1
"792","Ezequiel Ávila",838,4,3,2,2,0,3,10,NA,7,4,0,4,4,8,6,0
"793","Ezequiel Ponce",512,5,4,0,3,2,0,2,NA,2,3,1,2,0,5,9,0
"794","Ezri Konsa",1261,19,6,13,4,2,8,9,NA,1,13,7,6,12,31,49,1
"795","Fabian Frei",25,1,1,1,0,0,0,1,NA,1,0,0,0,1,2,0,0
"796","Fabian Rieder",68,3,2,1,1,1,1,2,NA,1,2,0,2,0,3,1,0
"797","Fabián Ruiz Peña",579,21,6,9,10,2,16,36,NA,20,12,1,11,4,25,3,1
"798","Fabian Schär",1243,16,6,10,5,1,8,11,NA,3,23,14,9,20,36,62,0
"799","Fabiano Parisi",1040,31,17,18,10,3,16,25,NA,9,14,4,10,18,49,37,0
"800","Fabien Centonze",173,6,3,4,2,0,5,5,NA,0,0,0,0,7,13,2,0
"801","Fabinho",1449,34,15,12,17,5,10,29,NA,19,18,5,13,22,56,19,0
"802","Fábio",192,4,2,1,2,1,4,5,NA,1,1,0,1,2,6,9,0
"803","Fábio Cardoso",270,5,1,3,1,1,3,4,250,1,2,1,1,3,8,11,0
"804","Fabio Carvalho",451,10,9,3,5,2,3,10,NA,7,9,1,8,5,15,0,0
"805","Fabio Chiarodia",3,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,1,0
"806","Fabio Depaoli",624,15,8,9,5,1,8,12,NA,4,9,2,7,3,18,11,0
"807","Fabio Miretti",729,15,7,10,4,1,7,15,NA,8,9,1,8,2,17,4,0
"808","Fabio Quagliarella",303,1,1,0,1,0,0,3,NA,3,4,0,4,0,1,3,0
"809","Fabio Vieira",246,4,2,3,0,1,2,3,NA,1,1,0,1,3,7,0,0
"810","Fabrizio Angileri",510,7,5,4,2,1,5,11,NA,6,7,3,4,6,13,8,0
"811","Facundo Medina",1225,9,5,4,5,0,5,13,NA,8,10,4,6,14,23,24,1
"812","Facundo Pellistri",116,1,1,0,0,1,0,0,NA,0,0,0,0,0,1,1,0
"813","Faitout Maouassa",655,19,13,12,7,0,6,11,NA,5,14,1,13,11,30,7,0
"814","Falaye Sacko",881,18,7,7,8,3,10,14,NA,4,18,6,12,14,32,22,1
"815","Fali",556,10,6,6,4,0,6,9,NA,3,5,3,2,3,13,25,0
"816","Famara Diedhiou",73,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"817","Fares Chaïbi",832,12,5,3,6,3,5,14,NA,9,15,3,12,9,21,7,1
"818","Farid El Melali",190,7,4,2,5,0,4,5,NA,1,3,0,3,3,10,0,0
"819","Faride Alidou",156,9,6,5,4,0,3,7,NA,4,2,0,2,2,11,0,0
"820","Fashion Sakala",235,4,3,1,3,0,3,4,NA,1,1,0,1,2,6,1,0
"821","Fede San Emeterio",789,9,4,5,2,2,3,12,NA,9,17,7,10,3,12,7,0
"822","Federico Baschirotto",1260,17,13,15,2,0,5,5,NA,0,19,12,7,15,32,75,0
"823","Federico Bonazzoli",644,1,1,0,0,1,0,5,NA,5,1,0,1,3,4,0,0
"824","Federico Ceccherini",499,10,7,6,3,1,4,7,NA,3,6,1,5,7,17,16,0
"825","Federico Chiesa",44,1,0,1,0,0,1,1,NA,0,2,0,2,0,1,0,0
"826","Federico Di Francesco",634,7,5,1,3,3,2,10,NA,8,8,0,8,2,9,8,0
"827","Federico Dimarco",1208,14,10,4,8,2,5,8,NA,3,11,3,8,15,29,23,0
"828","Federico Fazio",629,9,7,5,4,0,3,6,NA,3,7,3,4,19,28,28,0
"829","Federico Fernández",90,1,1,1,0,0,1,1,100,0,0,0,0,2,3,12,0
"830","Federico Gatti",540,5,4,5,0,0,3,5,NA,2,8,5,3,8,13,27,1
"831","Federico Valverde",1715,25,13,8,11,6,11,23,NA,12,21,1,20,14,39,7,0
"832","Felipe",270,7,6,4,3,0,3,5,166.7,2,6,5,1,1,8,12,1
"833","Felipe Anderson",947,24,16,7,14,3,11,23,NA,12,25,1,24,8,32,10,0
"834","Felix Afena-Gyan",205,4,2,3,1,0,1,1,NA,0,0,0,0,0,4,1,0
"835","Felix Agu",49,1,0,0,1,0,0,0,NA,0,1,1,0,0,1,0,0
"836","Felix Kalu Nmecha",665,12,7,3,6,3,3,7,NA,4,5,3,2,8,20,13,0
"837","Felix Passlack",139,4,1,1,2,1,2,2,NA,0,2,0,2,0,4,2,0
"838","Félix Torres Caicedo",270,2,2,2,0,0,2,3,NA,1,3,2,1,4,6,10,0
"839","Ferjani Sassi",48,2,0,0,2,0,1,1,NA,0,1,0,1,1,3,0,0
"840","Ferland Mendy",1231,15,8,11,3,1,10,16,NA,6,6,2,4,13,28,13,0
"841","Fernand Mayembo",284,1,1,1,0,0,0,1,NA,1,1,0,1,3,4,18,0
"842","Fernando",1819,14,9,7,5,2,8,14,NA,6,11,1,10,11,25,19,0
"843","Fernando Calero",873,24,15,17,5,2,14,19,NA,5,22,8,14,8,32,29,0
"844","Fernando Pacheco",90,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"845","Ferrán Torres",866,7,4,0,4,3,3,11,NA,8,5,1,4,1,8,3,0
"846","Festy Ebosele",8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"847","Fidel",165,1,1,1,0,0,0,3,NA,3,2,0,2,1,2,0,0
"848","Fikayo Tomori",1481,40,21,25,15,0,7,13,NA,6,21,9,12,16,56,43,0
"849","Filip Đuričić",921,18,10,9,7,2,5,10,NA,5,4,0,4,5,23,1,0
"850","Filip Kostić",1476,25,14,10,8,7,17,35,NA,18,15,2,13,7,32,11,0
"851","Filip Mladenović",65,0,0,0,0,0,0,2,0,2,1,0,1,0,0,1,0
"852","Filip Uremović",555,9,4,7,2,0,5,5,NA,0,6,5,1,15,24,31,2
"853","Filippo Bandinelli",901,20,12,6,9,5,3,11,NA,8,7,2,5,8,28,19,0
"854","Filippo Ranocchia",197,4,4,2,2,0,1,3,NA,2,1,0,1,3,7,0,0
"855","Filippo Terracciano",326,6,5,4,1,1,4,4,NA,0,3,2,1,2,8,3,0
"856","Finn Ole Becker",3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"857","Firas Al-Buraikan",268,3,3,2,0,1,2,2,NA,0,5,2,3,2,5,4,0
"858","Fisnik Asllani",42,0,0,0,0,0,0,0,NA,0,1,0,1,2,2,0,0
"859","Flavien Tait",1044,21,13,7,11,3,13,28,NA,15,11,3,8,7,28,10,0
"860","Flávio Nazinho",120,3,2,3,0,0,0,2,NA,2,0,0,0,1,4,3,0
"861","Flavius Daniliuc",846,22,11,18,4,0,7,10,NA,3,16,6,10,10,32,35,0
"862","Florent Mollet",410,4,1,0,4,0,2,7,NA,5,7,1,6,1,5,1,0
"863","Florent Ogier",672,12,6,7,4,1,9,15,NA,6,14,8,6,5,17,17,1
"864","Florentino Luís",526,18,12,5,13,0,7,18,NA,11,5,0,5,19,37,8,0
"865","Florian Dietz",395,2,1,0,2,0,1,4,NA,3,4,1,3,0,2,2,0
"866","Florian Flick",512,12,3,7,5,0,4,14,NA,10,9,3,6,4,16,18,0
"867","Florian Grillitsch",59,1,1,1,0,0,1,6,NA,5,1,0,1,0,1,0,0
"868","Florian Kainz",1031,8,4,4,4,0,4,9,NA,5,10,2,8,11,19,11,0
"869","Florian Lejeune",948,8,5,5,2,1,5,9,NA,4,9,7,2,6,14,37,0
"870","Florian Müller",1350,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,6,3
"871","Florian Neuhaus",468,4,0,2,1,1,2,7,NA,5,8,2,6,5,9,2,0
"872","Florian Niederlechner",910,10,5,5,4,1,4,7,NA,3,16,2,14,1,11,9,0
"873","Florian Sotoca",1234,15,6,5,5,5,6,14,NA,8,20,1,19,18,33,11,0
"874","Florian Tardieu",877,28,18,17,11,0,12,26,NA,14,16,3,13,23,51,14,0
"875","Flynn Downes",265,3,2,0,2,1,1,3,NA,2,9,0,9,1,4,1,0
"876","Fodé Ballo-Touré",331,7,3,2,5,0,4,5,NA,1,7,4,3,6,13,2,0
"877","Folarin Balogun",1076,4,2,0,3,1,0,6,NA,6,9,0,9,1,5,10,0
"878","Fortune Bassey",134,0,0,0,0,0,0,2,NA,2,0,0,0,0,0,0,0
"879","Fran Beltrán",1123,10,6,4,4,2,3,16,NA,13,11,2,9,14,24,7,1
"880","Fran Delgado",12,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"881","Fran Karačić",74,1,1,1,0,0,0,0,NA,0,1,0,1,2,3,3,0
"882","Francesco Acerbi",861,10,4,10,0,0,4,5,NA,1,6,3,3,7,17,36,0
"883","Francesco Caputo",1004,3,1,0,0,3,0,3,NA,3,0,0,0,1,4,3,0
"884","Francis Coquelin",523,14,9,6,6,2,6,6,NA,0,7,2,5,6,20,6,0
"885","Francisco Calvo",180,7,4,6,1,0,4,7,108.3,3,3,1,2,2,9,2,0
"886","Francisco Conceição",17,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,1,0
"887","Francisco Garcia",1259,20,14,14,3,3,12,25,NA,13,14,1,13,16,36,21,0
"888","Francisco Perez",21,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"889","Francisco Portillo",201,3,2,1,1,1,0,3,NA,3,1,1,0,2,5,2,0
"890","Francisco Trincão",386,5,4,1,4,0,2,4,NA,2,3,0,3,2,7,3,0
"891","Franck Honorat",1162,23,15,11,6,6,9,21,NA,12,8,1,7,10,33,6,0
"892","Franck Kessié",490,9,4,3,5,1,3,6,NA,3,7,1,6,3,12,1,0
"893","Franck Ribéry",37,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"894","Franco Cervi",1017,36,19,11,20,5,15,35,NA,20,20,1,19,20,56,7,0
"895","Franco Israel",155,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1
"896","Franco Russo",77,1,1,1,0,0,0,1,NA,1,4,0,4,2,3,4,0
"897","François-Joseph Sollacaro",90,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"898","Frank Onyeka",442,13,9,7,5,1,7,12,NA,5,8,2,6,5,18,7,0
"899","Frank Tsadjout",28,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"900","Frantzdy Pierrot",481,3,1,1,1,1,0,1,NA,1,3,1,2,1,4,8,0
"901","Fred",471,10,8,3,5,2,2,9,NA,7,13,1,12,8,18,5,0
"902","Frederik Rønnow",990,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,5,0
"903","Frederik Winther",90,2,2,1,1,0,0,2,0,2,1,1,0,0,2,7,0
"904","Fredrik Aursnes",260,9,6,3,4,2,3,4,NA,1,3,1,2,1,10,2,0
"905","Fredrik Jensen",617,8,7,4,2,2,3,5,NA,2,8,5,3,3,11,9,0
"906","Frenkie de Jong",1402,35,17,9,18,8,12,19,NA,7,14,4,10,22,57,9,1
"907","Gabriel Dos Santos",1260,19,13,11,6,2,8,12,NA,4,20,12,8,12,31,53,2
"908","Gabriel Gudmundsson",95,3,2,0,2,1,1,1,NA,0,0,0,0,2,5,0,0
"909","Gabriel Jesus",1249,20,16,9,5,6,7,16,NA,9,15,2,13,9,29,10,1
"910","Gabriel Paulista",579,9,5,7,2,0,7,11,NA,4,8,5,3,8,17,28,0
"911","Gabriel Strefezza",817,17,6,8,7,2,9,17,NA,8,9,2,7,6,23,9,0
"912","Gabriel Veiga",577,18,7,5,13,0,7,16,NA,9,7,0,7,5,23,3,0
"913","Gabriel Veron",47,1,0,1,0,0,1,1,NA,0,2,0,2,0,1,0,0
"914","Gabriel Vidovic",19,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"915","Gaël Kakuta",22,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"916","Gaël Ondoua",47,2,1,0,2,0,1,1,NA,0,1,0,1,2,4,0,0
"917","Gaëtan Charbonnier",254,2,1,0,2,0,0,4,NA,4,2,0,2,0,2,5,0
"918","Gaëtan Laborde",983,12,7,4,6,2,5,9,NA,4,11,1,10,3,15,8,0
"919","Gaëtan Perrin",440,5,1,0,3,2,3,11,NA,8,3,0,3,3,8,5,0
"920","Galeno",423,3,1,2,1,0,2,4,NA,2,13,3,10,9,12,4,0
"921","Garang Kuol",18,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0
"922","Gareth Bale",225,1,1,1,0,0,0,2,NA,2,1,0,1,1,2,1,0
"923","Gary Medel",983,16,10,11,4,1,7,13,NA,6,10,7,3,18,34,29,0
"924","Gastón Álvarez",429,11,8,8,3,0,6,12,NA,6,5,3,2,9,20,15,0
"925","Gauthier Gallon",1080,1,1,1,0,0,1,2,NA,1,0,0,0,2,3,5,0
"926","Gauthier Hein",669,13,9,6,6,1,7,16,NA,9,4,0,4,4,17,4,0
"927","Gavi",1287,26,19,5,15,6,9,18,NA,9,15,2,13,14,40,8,0
"928","Gavin Bazunu",1350,1,0,1,0,0,1,1,NA,0,0,0,0,1,2,13,0
"929","Gedeon Kalulu",1080,28,12,19,7,2,14,22,700.1,8,11,2,9,15,43,35,0
"930","Gelson Martins",111,3,2,0,1,2,0,3,NA,3,2,1,1,0,3,1,0
"931","Genki Haraguchi",362,8,5,1,7,0,3,6,NA,3,5,1,4,3,11,5,0
"932","Geoffrey Kondogbia",944,34,16,16,16,2,16,23,NA,7,10,1,9,25,59,12,1
"933","Georges-Kévin N'Koudou",27,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"934","Georginio Rutter",1009,7,4,1,4,2,1,3,NA,2,10,2,8,5,12,6,0
"935","Georginio Wijnaldum",13,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"936","Gerard Deulofeu",1110,7,4,4,1,2,5,13,NA,8,6,1,5,2,9,1,0
"937","Gerard Gumbau",831,12,7,4,7,1,3,10,NA,7,11,5,6,6,18,14,0
"938","Gerard Moreno",382,4,3,0,3,1,1,2,NA,1,3,1,2,1,5,2,0
"939","Gerard Piqué",642,8,6,1,7,0,5,6,NA,1,5,3,2,5,13,27,0
"940","Gerard Yepes",198,5,3,2,3,0,1,3,NA,2,3,0,3,4,9,3,0
"941","Germán Pezzella",923,17,11,13,4,0,10,12,NA,2,12,5,7,22,39,40,1
"942","Gerónimo Rulli",1260,0,0,0,0,0,0,0,NA,0,1,0,1,1,1,6,2
"943","Gerrit Holtmann",736,10,6,5,4,1,8,11,NA,3,14,1,13,2,12,2,0
"944","Gerson",538,7,5,2,4,1,3,5,NA,2,7,0,7,2,9,4,0
"945","Gerson Torres",64,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0
"946","Gerzino Nyamsi",657,7,5,4,3,0,4,4,NA,0,6,5,1,6,13,22,0
"947","Ghaylène Chaalali",17,0,0,0,0,0,0,0,NA,0,1,0,1,2,2,1,0
"948","Ghjuvanni Quilichini",82,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"949","Giacomo Bonaventura",840,17,11,7,7,3,10,15,600,5,7,0,7,9,26,2,0
"950","Giacomo Quagliata",346,6,6,5,0,1,3,4,NA,1,5,2,3,4,10,3,0
"951","Giacomo Raspadori",707,8,7,0,5,3,1,4,NA,3,5,0,5,3,11,3,0
"952","Gian Marco Ferrari",1168,11,7,7,4,0,6,9,NA,3,12,9,3,12,23,44,1
"953","Giangiacomo Magnani",93,1,0,1,0,0,0,0,NA,0,2,2,0,1,2,3,0
"954","Gianluca Caprari",833,7,4,2,4,1,3,7,NA,4,5,1,4,2,9,0,0
"955","Gianluca Gaetano",63,2,1,0,2,0,0,0,NA,0,0,0,0,0,2,0,0
"956","Gianluca Mancini",1083,16,10,12,4,0,6,8,NA,2,10,5,5,15,31,23,0
"957","Gianluca Scamacca",755,8,3,1,3,4,2,2,NA,0,3,0,3,2,10,4,0
"958","Gianluigi Donnarumma",1890,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,9,1
"959","Gideon Mensah",717,19,9,10,7,2,12,18,NA,6,9,4,5,16,35,15,0
"960","Gilberto",38,3,3,3,0,0,2,2,NA,0,0,0,0,2,5,2,0
"961","Gio Reyna",672,9,5,2,5,2,4,9,NA,5,6,2,4,4,13,3,1
"962","Giorgi Mamardashvili",1260,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,8,1
"963","Giorgian De Arrascaeta",29,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
"964","Giorgio Scalvini",557,18,8,7,6,5,13,18,NA,5,12,3,9,11,29,13,1
"965","Giorgos Giakoumakis",246,4,3,1,0,3,0,2,NA,2,5,0,5,4,8,3,0
"966","Giorgos Kyriakopoulos",691,20,8,7,8,5,10,12,NA,2,6,0,6,11,31,10,0
"967","Giovani Lo Celso",521,21,17,3,13,5,8,12,550,4,6,0,6,5,26,3,0
"968","Giovanni Di Lorenzo",1686,33,18,16,15,2,12,21,NA,9,17,4,13,20,53,41,0
"969","Giovanni González",344,4,3,3,1,0,3,8,NA,5,2,1,1,3,7,8,0
"970","Giovanni Simeone",377,9,4,1,5,3,2,4,NA,2,2,0,2,1,10,2,0
"971","Giulian Biancone",17,2,1,2,0,0,1,1,NA,0,0,0,0,1,3,0,0
"972","Giulio Donati",65,3,1,2,0,1,2,2,NA,0,1,1,0,3,6,1,0
"973","Giulio Maggiore",653,14,6,6,5,3,7,14,NA,7,17,4,13,8,22,4,0
"974","Giuseppe Pezzella",434,10,5,8,0,2,6,11,NA,5,5,2,3,5,15,16,1
"975","Gleison Bremer",1214,14,7,11,2,1,7,11,NA,4,23,14,9,25,39,50,1
"976","Glen Kamara",127,0,0,0,0,0,0,1,NA,1,2,1,1,4,4,1,1
"977","Gonçalo Borges",38,1,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,0
"978","Gonçalo Guedes",689,7,5,3,3,1,4,7,NA,3,4,0,4,1,8,2,0
"979","Gonçalo Inácio",540,4,1,4,0,0,2,6,NA,4,7,3,4,5,9,21,0
"980","Gonçalo Paciência",331,5,3,0,4,1,1,3,NA,2,4,1,3,0,5,2,0
"981","Gonçalo Ramos",407,8,4,0,5,3,0,3,NA,3,4,0,4,0,8,4,0
"982","Gonzalo Escalante",555,16,8,8,8,0,10,13,NA,3,7,1,6,10,26,4,0
"983","Gonzalo Melero",536,13,5,2,8,3,3,7,NA,4,4,0,4,2,15,8,0
"984","Gonzalo Montiel",873,14,8,4,10,0,9,14,NA,5,11,4,7,12,26,14,1
"985","Gonzalo Plata",861,15,10,8,5,2,6,18,NA,12,8,0,8,6,21,2,0
"986","Gonzalo Verdú",388,4,1,4,0,0,2,4,NA,2,7,6,1,4,8,17,0
"987","Gonzalo Villar",594,13,7,4,8,1,7,14,NA,7,11,3,8,4,17,9,1
"988","Gorka Guruzeta",203,2,2,2,0,0,1,3,NA,2,1,0,1,1,3,0,0
"989","Granit Xhaka",1346,13,10,6,7,0,7,13,NA,6,12,5,7,7,20,28,1
"990","Greg Taylor",540,14,9,4,7,3,9,12,NA,3,8,4,4,7,21,6,0
"991","Grégoire Defrel",126,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"992","Gregor Kobel",1215,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,5,1
"993","Grejohn Kyei",596,4,0,1,2,1,2,3,NA,1,4,1,3,1,5,4,0
"994","Grigoris Kastanos",261,10,5,1,7,2,2,8,NA,6,5,2,3,2,12,1,0
"995","Grischa Prömel",1071,23,18,12,9,2,7,17,NA,10,16,3,13,5,28,17,0
"996","Grzegorz Krychowiak",262,8,4,2,5,1,1,6,33.3,5,3,2,1,3,11,3,0
"997","Guglielmo Vicario",1170,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,8,2
"998","Guido Rodríguez",1099,40,25,16,20,4,19,30,NA,11,20,7,13,13,53,25,0
"999","Guillermo Maripán",765,15,8,9,6,0,2,9,NA,7,14,10,4,13,28,25,0
"1000","Guillermo Ochoa",270,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"1001","Guillermo Varela",93,0,0,0,0,0,0,1,NA,1,0,0,0,1,1,0,0
"1002","Habib Diallo",1131,6,3,1,3,2,2,5,NA,3,7,0,7,6,12,3,0
"1003","Haji Wright",113,1,0,1,0,0,1,1,NA,0,0,0,0,0,1,1,0
"1004","Hakan Çalhanoğlu",1359,36,20,12,19,5,9,24,NA,15,22,5,17,17,53,8,1
"1005","Hakim Ziyech",390,13,7,7,5,1,3,4,NA,1,8,0,8,5,18,3,0
"1006","Hákon Arnar Haraldsson",298,5,3,2,2,1,1,2,NA,1,1,0,1,0,5,1,0
"1007","Halid Šabanović",258,3,2,3,0,0,3,5,NA,2,4,1,3,3,6,3,0
"1008","Halil Dervişoğlu",8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"1009","Hamari Traoré",1183,21,14,9,11,1,11,23,NA,12,16,4,12,19,40,36,0
"1010","Hamed Junior Traorè",179,2,0,2,0,0,1,4,NA,3,2,0,2,0,2,0,1
