"","Player","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs_Dribbles","Att_Vs_Dribbles","Tkl_percent_Vs_Dribbles","Past_Vs_Dribbles","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"2459","Sam Surridge",136,3,0,0,2,1,0,2,NA,2,3,2,1,0,3,5,0
"2460","Saman Ghoddos",83,1,0,1,0,0,0,1,NA,1,1,0,1,0,1,1,0
"2461","Sami Al-Najei",45,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"2462","Samir Handanović",720,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"2463","Samu Castillejo",612,8,2,2,4,2,3,11,NA,8,12,2,10,3,11,0,0
"2464","Samu Costa",768,21,9,13,5,3,8,24,NA,16,10,4,6,13,34,15,1
"2465","Samuel",1215,23,16,7,14,2,6,15,NA,9,12,0,12,4,27,2,0
"2466","Samuel Chukwueze",538,6,2,1,1,4,3,5,NA,2,4,0,4,2,8,8,0
"2467","Samuel Di Carmine",28,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2468","Samuel Edozie",159,2,2,0,1,1,0,1,NA,1,0,0,0,2,4,2,0
"2469","Samuel Gigot",965,9,5,4,3,2,3,6,NA,3,16,6,10,24,33,35,1
"2470","Samuel Iling-Junior",46,0,0,0,0,0,0,1,NA,1,0,0,0,1,1,1,0
"2471","Samuel Moutoussamy",742,20,13,9,8,3,5,17,NA,12,6,1,5,7,27,4,0
"2472","Samuel Oum Gouet",100,1,1,0,1,0,0,0,NA,0,0,0,0,0,1,3,0
"2473","Samuel Sáiz",193,2,2,0,2,0,1,2,NA,1,2,0,2,0,2,1,1
"2474","Samuel Umtiti",276,4,1,3,1,0,3,3,NA,0,4,2,2,3,7,11,0
"2475","Samuele Birindelli",550,14,8,10,2,2,10,13,NA,3,12,4,8,9,23,11,0
"2476","Samuele Ricci",538,9,3,2,4,3,6,7,NA,1,8,2,6,4,13,8,0
"2477","Samuele Vignato",8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2478","Sandi Lovrić",768,13,7,3,7,3,8,15,NA,7,6,0,6,7,20,10,0
"2479","Sandro Tonali",1427,25,16,10,12,3,15,21,NA,6,14,7,7,13,38,7,1
"2480","Sanjin Prcić",788,14,5,3,10,1,10,12,NA,2,9,3,6,12,26,6,0
"2481","Sanoussy Ba",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2482","Santi Comesaña",728,25,14,10,15,0,16,30,NA,14,11,1,10,11,36,3,0
"2483","Santiago Arzamendia",255,3,2,2,1,0,3,8,NA,5,7,0,7,0,3,6,1
"2484","Santiago Ascacíbar",699,27,12,16,9,2,14,29,NA,15,13,2,11,13,40,11,0
"2485","Santiago Bueno",1260,25,13,14,11,0,12,14,NA,2,16,12,4,19,44,30,0
"2486","Sardar Azmoun",414,4,2,1,2,1,1,4,NA,3,2,0,2,1,5,3,0
"2487","Sargis Adamyan",434,8,5,3,1,4,4,9,NA,5,7,0,7,1,9,2,0
"2488","Sasa Kalajdzic",278,3,2,0,1,2,1,3,NA,2,1,0,1,1,4,0,0
"2489","Saša Lukić",900,17,11,8,8,1,7,12,NA,5,13,5,8,8,25,13,1
"2490","Saud Abdulhamid",270,5,2,2,2,1,2,2,NA,0,3,0,3,2,7,6,0
"2491","Saúl Ñíguez",746,34,21,12,16,6,17,26,NA,9,19,1,18,12,46,17,0
"2492","Scott Arfield",267,4,1,0,4,0,1,6,NA,5,4,1,3,1,5,1,0
"2493","Scott McKenna",1260,11,6,7,2,2,5,8,NA,3,17,12,5,10,21,68,1
"2494","Scott McTominay",640,15,12,6,6,3,5,9,NA,4,5,2,3,9,24,25,0
"2495","Scott Wright",136,3,1,1,1,1,1,2,NA,1,0,0,0,1,4,2,0
"2496","Sead Haksabanović",229,5,3,2,0,3,5,5,NA,0,2,0,2,2,7,1,0
"2497","Sead Kolašinac",644,18,13,11,6,1,9,11,NA,2,9,1,8,15,33,10,0
"2498","Séamus Coleman",605,12,10,5,7,0,5,8,NA,3,7,3,4,9,21,17,1
"2499","Sean Goldberg",540,10,6,7,3,0,4,6,NA,2,6,4,2,4,14,24,0
"2500","Sean Longstaff",1056,17,10,5,7,5,8,23,NA,15,20,5,15,7,24,9,0
"2501","Sebastiaan Bornauw",725,5,3,4,1,0,3,7,NA,4,11,6,5,11,16,30,0
"2502","Sebastián Coates",484,9,3,6,3,0,5,6,NA,1,7,3,4,6,15,21,1
"2503","Sebastian Polter",465,4,3,0,4,0,1,3,NA,2,3,0,3,0,4,6,0
"2504","Sebastian Rode",824,22,14,8,13,1,6,17,NA,11,8,1,7,8,30,9,0
"2505","Sebastian Rudy",248,10,6,5,5,0,5,10,NA,5,8,1,7,2,12,8,0
"2506","Sebastian Szymański",71,3,1,1,1,1,0,1,0,1,3,1,2,1,4,1,0
"2507","Sebastian Walukiewicz",148,2,1,1,1,0,0,0,NA,0,3,3,0,0,2,7,0
"2508","Sebastiano Luperto",921,7,5,6,1,0,2,3,NA,1,16,13,3,16,23,47,0
"2509","Sébastien Corchia",371,7,3,4,0,3,5,10,NA,5,4,1,3,4,11,12,0
"2510","Sehrou Guirassy",801,2,1,1,1,0,1,1,NA,0,5,1,4,0,2,7,0
"2511","Seko Fofana",1113,11,6,4,6,1,5,15,NA,10,8,2,6,10,21,5,0
"2512","Sékou Gassama",36,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2513","Sekou Koita",20,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2514","Sekou Mara",214,5,2,0,4,1,2,5,NA,3,2,0,2,0,5,2,0
"2515","Selim Amallah",156,5,3,1,3,1,3,5,116.7,2,3,0,3,3,8,0,0
"2516","Sepe Elye Wahi",1168,5,3,2,2,1,2,4,NA,2,5,2,3,3,8,4,0
"2517","Sepp van den Berg",322,2,1,1,1,0,0,0,NA,0,4,2,2,8,10,19,1
"2518","Serge Aurier",530,23,13,17,4,2,7,8,NA,1,8,3,5,6,29,23,0
"2519","Serge Gnabry",1248,16,7,4,7,5,7,20,NA,13,16,1,15,7,23,6,1
"2520","Sergej Milinković-Savić",1204,26,10,10,12,4,14,28,NA,14,20,6,14,12,38,22,0
"2521","Sergi Canós",74,0,0,0,0,0,0,2,NA,2,3,1,2,0,0,1,0
"2522","Sergi Darder",1233,26,13,5,12,9,10,16,NA,6,8,0,8,13,39,8,0
"2523","Sergi Gómez",895,11,5,8,3,0,8,9,NA,1,8,5,3,12,23,56,0
"2524","Sergi Guardiola",377,11,6,6,4,1,2,4,NA,2,3,0,3,2,13,6,0
"2525","Sergi Roberto",583,10,6,5,4,1,6,8,NA,2,4,1,3,11,21,8,0
"2526","Sergiño Dest",566,12,4,4,3,5,6,10,NA,4,6,1,5,3,15,7,0
"2527","Sergio Akieme",1260,24,13,16,6,2,11,14,NA,3,14,3,11,9,33,24,0
"2528","Sergio Asenjo",450,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,6,2
"2529","Sergio Busquets",1348,33,23,8,19,6,13,22,NA,9,18,4,14,17,50,14,3
"2530","Sergio Camello",934,8,5,2,4,2,2,6,NA,4,4,0,4,0,8,7,0
"2531","Sergio Canales",856,7,4,5,1,1,5,9,NA,4,5,0,5,2,9,4,0
"2532","Sergio Escudero",709,22,15,15,7,0,9,21,506.7,12,14,2,12,10,32,23,0
"2533","Sergio Gómez",389,6,2,3,2,1,2,3,NA,1,8,2,6,4,10,6,0
"2534","Sergio Herrera",900,0,0,0,0,0,0,0,NA,0,1,0,1,1,1,5,0
"2535","Sergio León",625,2,2,0,1,1,1,1,NA,0,4,0,4,0,2,3,0
"2536","Sergio Ramos",1548,19,14,7,10,2,14,24,NA,10,19,9,10,22,41,35,1
"2537","Sergio Reguilón",22,2,1,1,1,0,2,2,100,0,1,0,1,0,2,0,0
"2538","Sergio Rochet",180,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1
"2539","Serhiy Kryvtsov",6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2540","Shandon Baptiste",431,7,5,3,3,1,5,10,NA,5,4,1,3,5,12,7,0
"2541","Shane Duffy",6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2542","Shaquell Moore",22,2,2,1,1,0,2,2,NA,0,0,0,0,0,2,3,0
"2543","Sheraldo Becker",1051,3,1,0,2,1,0,1,NA,1,4,0,4,0,3,2,0
"2544","Shon Weissman",561,1,1,1,0,0,0,2,NA,2,7,0,7,1,2,6,0
"2545","Shūichi Gonda",180,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1
"2546","Sidi Sané",25,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
"2547","Silas Katompa",1043,16,12,4,8,4,5,11,NA,6,7,1,6,3,19,1,0
"2548","Silvan Widmer",1100,21,12,14,6,1,16,19,NA,3,15,4,11,20,41,26,0
"2549","Silvère Ganvoula M'Boussy",153,2,2,0,1,1,0,0,NA,0,0,0,0,0,2,3,0
"2550","Simon Kjær",685,5,3,4,1,0,2,4,NA,2,7,4,3,12,17,21,0
"2551","Simon Mignolet",540,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,5,0
"2552","Simon Terodde",1052,10,6,3,4,3,1,8,NA,7,6,2,4,5,15,5,0
"2553","Simon Zoller",978,5,1,2,3,0,1,5,NA,4,7,0,7,4,9,13,0
"2554","Simone Bastoni",804,34,18,14,15,5,8,18,NA,10,15,4,11,7,41,8,0
"2555","Simone Verdi",415,7,3,2,3,2,3,4,NA,1,3,0,3,0,7,0,0
"2556","Sinaly Diomande",365,11,5,7,4,0,8,10,NA,2,5,4,1,9,20,19,1
"2557","Siriki Dembélé",8,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0
"2558","Sofiane Boufal",852,13,6,6,5,2,4,12,NA,8,8,0,8,4,17,1,0
"2559","Sofiane Diop",518,8,6,4,3,1,0,6,NA,6,7,1,6,5,13,3,0
"2560","Sofyan Amrabat",969,18,11,9,4,5,7,13,NA,6,12,4,8,13,31,8,1
"2561","Solly March",1214,19,9,6,6,7,1,12,NA,11,15,2,13,13,32,20,0
